                         Dynamic Factor Results
Dep. Variable:  ,"Cases1", and 45 more  ,  No. Observations:  ,130
Model:          ,Dynamic Factor Model   ,  Log Likelihood     ,-3334.893
                ,+ 7 factors in 7 blocks,  AIC                ,7065.785
                ,+ AR(1) idiosyncratic  ,  BIC                ,7633.557
Date:           ,Sun, 02 Jun 2024       ,  HQIC               ,7296.490
Time:           ,22:38:14               ,  EM Iterations      ,1777
Sample:         ,03-01-2012             ,                     ,
                ,- 12-01-2022           ,                     ,
Covariance Type:,Not computed           ,                     ,
                                            Observation equation:
Factor loadings:,Global,Response,Pandemic,Uncat,Consumption,Employment,Inflation,   idiosyncratic: AR(1),var.
Cases1          ,-0.00 ,.       ,-0.06   ,.    ,.          ,.         ,.        ,0.53                   ,0.71
Cases2          ,-0.06 ,.       ,-0.07   ,.    ,.          ,.         ,.        ,0.08                   ,1.02
Cases3          ,0.01  ,.       ,-0.44   ,.    ,.          ,.         ,.        ,0.78                   ,0.07
Cases4          ,-0.16 ,.       ,-0.34   ,.    ,.          ,.         ,.        ,0.88                   ,0.02
Cases5          ,0.00  ,.       ,-0.43   ,.    ,.          ,.         ,.        ,0.89                   ,0.02
Hosp1           ,0.08  ,.       ,-0.37   ,.    ,.          ,.         ,.        ,0.78                   ,0.17
Hosp2           ,-0.08 ,.       ,-0.43   ,.    ,.          ,.         ,.        ,0.82                   ,0.00
Deaths1         ,0.08  ,.       ,0.06    ,.    ,.          ,.         ,.        ,0.11                   ,1.04
Deaths2         ,0.09  ,.       ,0.04    ,.    ,.          ,.         ,.        ,0.08                   ,1.05
Deaths3         ,0.06  ,.       ,-0.10   ,.    ,.          ,.         ,.        ,0.45                   ,0.80
Deaths4         ,0.07  ,.       ,-0.23   ,.    ,.          ,.         ,.        ,0.24                   ,0.82
Deaths5         ,0.06  ,.       ,-0.13   ,.    ,.          ,.         ,.        ,0.36                   ,0.88
Vax1            ,0.20  ,-0.36   ,.       ,.    ,.          ,.         ,.        ,0.88                   ,0.01
Vax3            ,0.23  ,-0.32   ,.       ,.    ,.          ,.         ,.        ,0.88                   ,0.00
Gather1         ,0.23  ,-0.31   ,.       ,.    ,.          ,.         ,.        ,0.86                   ,0.00
Gather2         ,0.26  ,-0.22   ,.       ,.    ,.          ,.         ,.        ,0.92                   ,0.05
Gather3         ,0.24  ,-0.10   ,.       ,.    ,.          ,.         ,.        ,0.91                   ,0.14
Gather4         ,0.18  ,0.02    ,.       ,.    ,.          ,.         ,.        ,0.89                   ,0.26
Curfew          ,-0.18 ,-0.18   ,.       ,.    ,.          ,.         ,.        ,1.09                   ,0.00
Mask1           ,-0.17 ,-0.21   ,.       ,.    ,.          ,.         ,.        ,1.07                   ,0.00
Mask2           ,-0.16 ,-0.10   ,.       ,.    ,.          ,.         ,.        ,1.06                   ,0.00
School          ,-0.14 ,-0.07   ,.       ,.    ,.          ,.         ,.        ,0.94                   ,0.38
ARP             ,-0.15 ,0.19    ,.       ,.    ,.          ,.         ,.        ,0.77                   ,0.28
PPP             ,-0.01 ,0.02    ,.       ,.    ,.          ,.         ,.        ,-0.01                  ,0.99
CARES           ,-0.10 ,-0.10   ,.       ,.    ,.          ,.         ,.        ,0.08                   ,1.11
Cons1           ,-0.06 ,.       ,.       ,.    ,-0.09      ,.         ,.        ,-0.53                  ,0.66
Cons2           ,-0.20 ,.       ,.       ,.    ,-0.38      ,.         ,.        ,-0.22                  ,0.53
Cons3           ,-0.20 ,.       ,.       ,.    ,-0.38      ,.         ,.        ,-0.22                  ,0.53
Cons4           ,-0.22 ,.       ,.       ,.    ,-0.35      ,.         ,.        ,-0.36                  ,0.01
Cons5           ,-0.22 ,.       ,.       ,.    ,-0.35      ,.         ,.        ,-0.37                  ,0.00
Employment1     ,-0.18 ,.       ,.       ,.    ,.          ,0.53      ,.        ,-0.08                  ,0.79
Employment2     ,-0.20 ,.       ,.       ,.    ,.          ,0.51      ,.        ,0.00                   ,0.82
UI              ,-0.04 ,.       ,.       ,.    ,.          ,-0.22     ,.        ,0.44                   ,0.69
PartR           ,0.11  ,.       ,.       ,.    ,.          ,-0.15     ,.        ,1.03                   ,0.02
UR              ,-0.15 ,.       ,.       ,.    ,.          ,-0.22     ,.        ,0.85                   ,0.30
CPI             ,-0.00 ,.       ,.       ,.    ,.          ,.         ,0.70     ,-0.01                  ,0.49
PCE             ,-0.05 ,.       ,.       ,.    ,.          ,.         ,0.70     ,0.05                   ,0.53
FixAss          ,-0.05 ,.       ,.       ,-0.10,.          ,.         ,.        ,0.04                   ,1.07
GDP             ,0.05  ,.       ,.       ,0.21 ,.          ,.         ,.        ,0.42                   ,0.80
TBill1mo        ,0.20  ,.       ,.       ,0.06 ,.          ,.         ,.        ,0.89                   ,0.16
TBill6mo        ,-0.12 ,.       ,.       ,0.35 ,.          ,.         ,.        ,0.16                   ,0.26
TBill1yr        ,-0.13 ,.       ,.       ,0.35 ,.          ,.         ,.        ,0.18                   ,0.24
TBill5yr        ,-0.17 ,.       ,.       ,0.35 ,.          ,.         ,.        ,0.58                   ,0.00
TBill10yr       ,-0.17 ,.       ,.       ,0.35 ,.          ,.         ,.        ,0.59                   ,0.00
TBill30yr       ,-0.17 ,.       ,.       ,0.33 ,.          ,.         ,.        ,0.54                   ,0.10
FFR             ,-0.17 ,.       ,.       ,0.33 ,.          ,.         ,.        ,0.50                   ,0.11
    Transition: Factor block 0
      ,L1.Global,   error variance
Global,0.91     ,2.07
      Transition: Factor block 1
        ,L1.Response,   error variance
Response,0.88       ,1.21
      Transition: Factor block 2
