variable,factor,difference,logdiff
Cases1,Pandemic,True,False
Cases2,Pandemic,True,False
Cases3,Pandemic,True,False
Cases4,Pandemic,True,False
Cases5,Pandemic,True,False
Hosp1,Pandemic,True,False
Hosp2,Pandemic,True,False
Deaths1,Pandemic,True,False
Deaths2,Pandemic,True,False
Deaths3,Pandemic,True,False
Deaths4,Pandemic,True,False
Deaths5,Pandemic,True,False
Vax1,Response,False,False
Vax3,Response,False,False
Gather1,Response,False,False
Gather2,Response,False,False
Gather3,Response,False,False
Gather4,Response,False,False
Curfew,Response,False,False
Mask1,Response,False,False
Mask2,Response,False,False
School,Response,False,False
ARP,Response,False,False
PPP,Response,False,False
CARES,Response,False,False
Cons1,Consumption,False,True
Cons2,Consumption,False,True
Cons3,Consumption,False,True
Cons4,Consumption,False,True
Cons5,Consumption,False,True
Employment1,Employment,False,True
Employment2,Employment,False,True
UI,Employment,False,True
PartR,Employment,False,False
UR,Employment,False,False
CPI,Inflation,False,True
CPIU,Inflation,False,True
PCE,Inflation,False,True
PCEC,Inflation,False,True
RPFI,Uncat,False,True
FixAss,Uncat,False,True
Prod,Uncat,False,True
GDP,Uncat,False,True
TBill1mo,Uncat,False,False
TBill6mo,Uncat,False,False
TBill1yr,Uncat,False,False
TBill5yr,Uncat,False,False
TBill10yr,Uncat,False,False
TBill30yr,Uncat,False,False
FFR,Uncat,False,False
