                         Dynamic Factor Results
Dep. Variable:  ,"Cases1", and 47 more  ,  No. Observations:  ,130
Model:          ,Dynamic Factor Model   ,  Log Likelihood     ,-2234.372
                ,+ 7 factors in 7 blocks,  AIC                ,4880.745
                ,+ AR(1) idiosyncratic  ,  BIC                ,5471.457
Date:           ,Sun, 02 Jun 2024       ,  HQIC               ,5120.771
Time:           ,22:40:47               ,  EM Iterations      ,37
Sample:         ,03-01-2012             ,                     ,
                ,- 12-01-2022           ,                     ,
Covariance Type:,Not computed           ,                     ,
                                            Observation equation:
Factor loadings:,Global,Response,Pandemic,Uncat,Consumption,Employment,Inflation,   idiosyncratic: AR(1),var.
Cases1          ,-0.05 ,.       ,-0.02   ,.    ,.          ,.         ,.        ,0.62                   ,0.62
Cases2          ,-0.03 ,.       ,0.20    ,.    ,.          ,.         ,.        ,0.27                   ,0.90
Cases3          ,0.05  ,.       ,0.44    ,.    ,.          ,.         ,.        ,0.78                   ,0.07
Cases4          ,-0.15 ,.       ,0.35    ,.    ,.          ,.         ,.        ,0.88                   ,0.05
Cases5          ,0.06  ,.       ,0.41    ,.    ,.          ,.         ,.        ,0.97                   ,0.03
Hosp1           ,0.11  ,.       ,0.36    ,.    ,.          ,.         ,.        ,0.80                   ,0.16
Hosp2           ,-0.04 ,.       ,0.43    ,.    ,.          ,.         ,.        ,1.00                   ,0.00
Deaths1         ,0.05  ,.       ,-0.19   ,.    ,.          ,.         ,.        ,0.11                   ,0.99
Deaths2         ,0.06  ,.       ,-0.18   ,.    ,.          ,.         ,.        ,0.07                   ,1.00
Deaths3         ,0.06  ,.       ,-0.06   ,.    ,.          ,.         ,.        ,0.63                   ,0.58
Deaths4         ,0.09  ,.       ,0.07    ,.    ,.          ,.         ,.        ,0.49                   ,0.72
Deaths5         ,0.07  ,.       ,-0.04   ,.    ,.          ,.         ,.        ,0.57                   ,0.65
Vax1            ,0.21  ,-0.25   ,.       ,.    ,.          ,.         ,.        ,0.96                   ,0.01
Vax3            ,0.24  ,-0.20   ,.       ,.    ,.          ,.         ,.        ,0.97                   ,0.00
Gather1         ,0.25  ,-0.18   ,.       ,.    ,.          ,.         ,.        ,0.97                   ,0.00
Gather2         ,0.26  ,-0.19   ,.       ,.    ,.          ,.         ,.        ,0.95                   ,0.03
Gather3         ,0.24  ,-0.19   ,.       ,.    ,.          ,.         ,.        ,0.98                   ,0.06
Gather4         ,0.17  ,-0.16   ,.       ,.    ,.          ,.         ,.        ,0.99                   ,0.10
Curfew          ,-0.20 ,-0.29   ,.       ,.    ,.          ,.         ,.        ,0.67                   ,0.00
Mask1           ,-0.19 ,-0.31   ,.       ,.    ,.          ,.         ,.        ,0.91                   ,0.00
Mask2           ,-0.19 ,-0.30   ,.       ,.    ,.          ,.         ,.        ,0.99                   ,0.00
School          ,-0.15 ,-0.19   ,.       ,.    ,.          ,.         ,.        ,0.83                   ,0.36
ARP             ,-0.18 ,-0.06   ,.       ,.    ,.          ,.         ,.        ,0.70                   ,0.38
PPP             ,-0.02 ,0.02    ,.       ,.    ,.          ,.         ,.        ,-0.02                  ,0.99
CARES           ,-0.07 ,-0.01   ,.       ,.    ,.          ,.         ,.        ,0.01                   ,1.02
Cons1           ,-0.05 ,.       ,.       ,.    ,-0.13      ,.         ,.        ,-0.49                  ,0.68
Cons2           ,-0.20 ,.       ,.       ,.    ,-0.39      ,.         ,.        ,-0.29                  ,0.41
Cons3           ,-0.19 ,.       ,.       ,.    ,-0.38      ,.         ,.        ,-0.40                  ,0.45
Cons4           ,-0.19 ,.       ,.       ,.    ,-0.40      ,.         ,.        ,-0.43                  ,0.00
Cons5           ,-0.19 ,.       ,.       ,.    ,-0.40      ,.         ,.        ,-0.43                  ,0.00
Employment1     ,-0.16 ,.       ,.       ,.    ,.          ,0.58      ,.        ,-0.21                  ,0.65
Employment2     ,-0.18 ,.       ,.       ,.    ,.          ,0.54      ,.        ,-0.29                  ,0.62
UI              ,-0.02 ,.       ,.       ,.    ,.          ,-0.22     ,.        ,0.49                   ,0.68
PartR           ,0.14  ,.       ,.       ,.    ,.          ,-0.14     ,.        ,1.01                   ,0.04
UR              ,-0.16 ,.       ,.       ,.    ,.          ,-0.15     ,.        ,0.86                   ,0.29
CPI             ,0.01  ,.       ,.       ,.    ,.          ,.         ,-0.25    ,0.02                   ,0.99
CPIU            ,-0.03 ,.       ,.       ,.    ,.          ,.         ,-0.72    ,0.02                   ,0.93
PCEC            ,-0.01 ,.       ,.       ,.    ,.          ,.         ,0.63     ,0.01                   ,0.95
FixAss          ,-0.02 ,.       ,.       ,-0.02,.          ,.         ,.        ,0.01                   ,1.01
Prod            ,-0.05 ,.       ,.       ,-0.04,.          ,.         ,.        ,0.04                   ,1.05
GDP             ,0.05  ,.       ,.       ,0.18 ,.          ,.         ,.        ,0.46                   ,0.75
TBill1mo        ,0.21  ,.       ,.       ,0.06 ,.          ,.         ,.        ,0.95                   ,0.06
TBill6mo        ,-0.12 ,.       ,.       ,0.36 ,.          ,.         ,.        ,0.28                   ,0.19
TBill1yr        ,-0.14 ,.       ,.       ,0.37 ,.          ,.         ,.        ,0.35                   ,0.13
TBill5yr        ,-0.15 ,.       ,.       ,0.36 ,.          ,.         ,.        ,0.67                   ,0.00
TBill10yr       ,-0.16 ,.       ,.       ,0.36 ,.          ,.         ,.        ,0.65                   ,0.00
TBill30yr       ,-0.16 ,.       ,.       ,0.34 ,.          ,.         ,.        ,0.67                   ,0.13
FFR             ,-0.16 ,.       ,.       ,0.32 ,.          ,.         ,.        ,0.69                   ,0.16
    Transition: Factor block 0
      ,L1.Global,   error variance
Global,0.93     ,1.79
      Transition: Factor block 1
        ,L1.Response,   error variance
Response,0.93       ,1.05
      Transition: Factor block 2
        ,L1.Pandemic,   error variance
Pandemic,0.58       ,2.05
   Transition: Factor block 3
     ,L1.Uncat,   error variance
Uncat,0.83    ,2.31
         Transition: Factor block 4
           ,L1.Consumption,   error variance
Consumption,0.03          ,5.96
        Transition: Factor block 5
          ,L1.Employment,   error variance
Employment,0.74         ,0.31
       Transition: Factor block 6
         ,L1.Inflation,   error variance
Inflation,-0.12       ,0.17

Warnings:
[1] Covariance matrix not calculated.
