                         Dynamic Factor Results
Dep. Variable:  ,"Cases1", and 44 more  ,  No. Observations:  ,130
Model:          ,Dynamic Factor Model   ,  Log Likelihood     ,-3786.391
                ,+ 8 factors in 7 blocks,  AIC                ,8060.782
                ,+ AR(1) idiosyncratic  ,  BIC                ,8760.461
Date:           ,Sun, 02 Jun 2024       ,  HQIC               ,8345.085
Time:           ,23:06:55               ,  EM Iterations      ,45
Sample:         ,03-01-2012             ,                     ,
                ,- 12-01-2022           ,                     ,
Covariance Type:,Not computed           ,                     ,
                                                  Observation equation:
Factor loadings:,Global.1,Global.2,Response,Pandemic,Uncat,Consumption,Employment,Inflation,   idiosyncratic: AR(1), var.
Cases1          ,-0.03   ,-0.08   ,.       ,-0.18   ,.    ,.          ,.         ,.        ,0.71                   ,0.42
Cases2          ,0.07    ,0.13    ,.       ,0.00    ,.    ,.          ,.         ,.        ,0.13                   ,1.03
Cases3          ,0.02    ,0.12    ,.       ,-0.42   ,.    ,.          ,.         ,.        ,0.73                   ,0.09
Cases4          ,0.16    ,-0.00   ,.       ,-0.34   ,.    ,.          ,.         ,.        ,0.74                   ,0.08
Cases5          ,0.05    ,0.02    ,.       ,-0.44   ,.    ,.          ,.         ,.        ,0.91                   ,0.01
Hosp1           ,-0.03   ,0.16    ,.       ,-0.33   ,.    ,.          ,.         ,.        ,0.73                   ,0.18
Hosp2           ,0.10    ,0.01    ,.       ,-0.42   ,.    ,.          ,.         ,.        ,0.75                   ,0.01
Deaths1         ,-0.10   ,-0.14   ,.       ,-0.01   ,.    ,.          ,.         ,.        ,0.09                   ,1.04
Deaths2         ,-0.11   ,-0.13   ,.       ,-0.02   ,.    ,.          ,.         ,.        ,0.05                   ,1.03
Deaths3         ,-0.12   ,-0.23   ,.       ,0.09    ,.    ,.          ,.         ,.        ,0.28                   ,0.41
Deaths4         ,-0.12   ,-0.22   ,.       ,-0.04   ,.    ,.          ,.         ,.        ,0.13                   ,0.46
Deaths5         ,-0.12   ,-0.23   ,.       ,0.08    ,.    ,.          ,.         ,.        ,0.16                   ,0.42
Vax1            ,-0.20   ,0.08    ,-0.24   ,.       ,.    ,.          ,.         ,.        ,0.95                   ,0.01
Vax3            ,-0.22   ,0.06    ,-0.27   ,.       ,.    ,.          ,.         ,.        ,0.96                   ,0.00
Gather1         ,-0.23   ,0.05    ,-0.27   ,.       ,.    ,.          ,.         ,.        ,0.95                   ,0.00
Gather2         ,-0.25   ,0.08    ,-0.17   ,.       ,.    ,.          ,.         ,.        ,0.94                   ,0.02
Gather3         ,-0.22   ,0.12    ,-0.03   ,.       ,.    ,.          ,.         ,.        ,0.95                   ,0.04
Gather4         ,-0.16   ,0.15    ,0.10    ,.       ,.    ,.          ,.         ,.        ,0.93                   ,0.08
Curfew          ,0.18    ,0.14    ,0.26    ,.       ,.    ,.          ,.         ,.        ,0.92                   ,0.14
Mask1           ,0.16    ,0.14    ,0.25    ,.       ,.    ,.          ,.         ,.        ,0.94                   ,0.12
Mask2           ,0.18    ,0.12    ,0.23    ,.       ,.    ,.          ,.         ,.        ,0.93                   ,0.14
School          ,0.15    ,0.06    ,0.13    ,.       ,.    ,.          ,.         ,.        ,1.00                   ,0.34
