                         Dynamic Factor Results
Dep. Variable:  ,"Cases1", and 41 more  ,  No. Observations:  ,130
Model:          ,Dynamic Factor Model   ,  Log Likelihood     ,-2972.436
                ,+ 7 factors in 7 blocks,  AIC                ,6308.871
                ,+ AR(1) idiosyncratic  ,  BIC                ,6830.762
Date:           ,Sun, 02 Jun 2024       ,  HQIC               ,6520.933
Time:           ,22:40:33               ,  EM Iterations      ,295
Sample:         ,03-01-2012             ,                     ,
                ,- 12-01-2022           ,                     ,
Covariance Type:,Not computed           ,                     ,
                                            Observation equation:
Factor loadings:,Global,Response,Pandemic,Uncat,Consumption,Employment,Inflation,   idiosyncratic: AR(1),var.
Cases1          ,-0.03 ,.       ,-0.03   ,.    ,.          ,.         ,.        ,0.48                   ,0.76
Cases2          ,0.11  ,.       ,0.30    ,.    ,.          ,.         ,.        ,0.10                   ,0.95
Cases3          ,-0.02 ,.       ,0.42    ,.    ,.          ,.         ,.        ,0.98                   ,0.00
Cases4          ,0.14  ,.       ,0.22    ,.    ,.          ,.         ,.        ,0.92                   ,0.08
Cases5          ,-0.02 ,.       ,0.33    ,.    ,.          ,.         ,.        ,0.97                   ,0.03
Hosp1           ,-0.06 ,.       ,0.38    ,.    ,.          ,.         ,.        ,0.96                   ,0.01
Hosp2           ,0.05  ,.       ,0.32    ,.    ,.          ,.         ,.        ,0.97                   ,0.03
Deaths1         ,-0.13 ,.       ,-0.28   ,.    ,.          ,.         ,.        ,0.07                   ,0.96
Deaths2         ,-0.14 ,.       ,-0.27   ,.    ,.          ,.         ,.        ,0.03                   ,0.96
Deaths3         ,-0.10 ,.       ,-0.22   ,.    ,.          ,.         ,.        ,0.83                   ,0.24
Deaths4         ,-0.11 ,.       ,-0.10   ,.    ,.          ,.         ,.        ,0.69                   ,0.49
Deaths5         ,-0.10 ,.       ,-0.21   ,.    ,.          ,.         ,.        ,0.83                   ,0.25
Vax1            ,-0.20 ,-0.33   ,.       ,.    ,.          ,.         ,.        ,0.91                   ,0.01
Vax3            ,-0.22 ,-0.33   ,.       ,.    ,.          ,.         ,.        ,0.91                   ,0.00
Gather1         ,-0.23 ,-0.33   ,.       ,.    ,.          ,.         ,.        ,0.91                   ,0.00
Gather2         ,-0.25 ,-0.24   ,.       ,.    ,.          ,.         ,.        ,0.95                   ,0.04
Gather3         ,-0.23 ,-0.10   ,.       ,.    ,.          ,.         ,.        ,0.93                   ,0.12
Gather4         ,-0.17 ,0.05    ,.       ,.    ,.          ,.         ,.        ,0.89                   ,0.26
Curfew          ,0.17  ,0.06    ,.       ,.    ,.          ,.         ,.        ,0.98                   ,0.11
Mask1           ,0.16  ,0.03    ,.       ,.    ,.          ,.         ,.        ,0.99                   ,0.09
Mask2           ,0.17  ,0.08    ,.       ,.    ,.          ,.         ,.        ,0.98                   ,0.11
School          ,0.14  ,0.03    ,.       ,.    ,.          ,.         ,.        ,1.00                   ,0.33
ARP             ,0.20  ,0.22    ,.       ,.    ,.          ,.         ,.        ,0.77                   ,0.24
PPP             ,0.01  ,0.05    ,.       ,.    ,.          ,.         ,.        ,-0.02                  ,0.99
CARES           ,0.15  ,-0.25   ,.       ,.    ,.          ,.         ,.        ,0.11                   ,1.02
Cons1           ,0.09  ,.       ,.       ,.    ,-0.03      ,.         ,.        ,-0.44                  ,0.81
Cons2           ,0.19  ,.       ,.       ,.    ,0.40       ,.         ,.        ,-0.44                  ,0.00
Cons3           ,0.19  ,.       ,.       ,.    ,0.40       ,.         ,.        ,-0.21                  ,0.00
Cons4           ,0.24  ,.       ,.       ,.    ,0.32       ,.         ,.        ,0.12                   ,0.31
Cons5           ,0.24  ,.       ,.       ,.    ,0.32       ,.         ,.        ,0.11                   ,0.31
Employment1     ,0.18  ,.       ,.       ,.    ,.          ,0.58      ,.        ,-0.37                  ,0.14
Employment2     ,0.21  ,.       ,.       ,.    ,.          ,0.52      ,.        ,-0.26                  ,0.15
CPI             ,0.10  ,.       ,.       ,.    ,.          ,.         ,0.94     ,0.00                   ,0.00
FixAss          ,0.08  ,.       ,.       ,-0.16,.          ,.         ,.        ,-0.17                  ,0.89
GDP             ,-0.09 ,.       ,.       ,0.18 ,.          ,.         ,.        ,0.43                   ,0.77
TBill1mo        ,-0.20 ,.       ,.       ,0.00 ,.          ,.         ,.        ,0.92                   ,0.13
TBill6mo        ,0.07  ,.       ,.       ,0.38 ,.          ,.         ,.        ,0.51                   ,0.21
TBill1yr        ,0.08  ,.       ,.       ,0.38 ,.          ,.         ,.        ,0.49                   ,0.18
TBill5yr        ,0.14  ,.       ,.       ,0.35 ,.          ,.         ,.        ,0.50                   ,0.17
TBill10yr       ,0.14  ,.       ,.       ,0.35 ,.          ,.         ,.        ,0.51                   ,0.18
TBill30yr       ,0.14  ,.       ,.       ,0.35 ,.          ,.         ,.        ,0.26                   ,0.00
FFR             ,0.15  ,.       ,.       ,0.35 ,.          ,.         ,.        ,0.00                   ,0.00
    Transition: Factor block 0
      ,L1.Global,   error variance
Global,0.83     ,1.61
      Transition: Factor block 1
        ,L1.Response,   error variance
Response,0.90       ,1.19
      Transition: Factor block 2
        ,L1.Pandemic,   error variance
Pandemic,0.44       ,4.54
   Transition: Factor block 3
     ,L1.Uncat,   error variance
Uncat,0.71    ,3.65
         Transition: Factor block 4
           ,L1.Consumption,   error variance
Consumption,0.01          ,4.77
        Transition: Factor block 5
          ,L1.Employment,   error variance
Employment,-0.10        ,1.82
       Transition: Factor block 6
         ,L1.Inflation,   error variance
Inflation,0.02        ,1.10

Warnings:
[1] Covariance matrix not calculated.
