"state","month","confirmed_cases","hospitalizations","deaths"
"DC","2020-06",576,220,0
"DC","2020-07",4360,240,24
"DC","2020-08",711,163,0
"DC","2020-09",632,132,0
"DC","2020-10",793,168,0
"DC","2020-11",1861,328,22
"DC","2020-12",2720,504,54
"DC","2021-01",17930,1043,102
"DC","2021-02",3534,629,38
"DC","2021-03",3560,581,12
"DC","2021-04",4787,651,0
"DC","2021-05",975,237,0
"DC","2021-06",565,111,0
"DC","2021-07",1122,138,0
"DC","2021-08",4911,915,0
"DC","2021-09",5725,895,0
"DC","2021-10",2941,338,0
"DC","2021-11",2580,320,0
"DC","2021-12",6253,1574,16
"DC","2022-01",55731,3926,36
"DC","2022-02",4870,237,0
"DC","2022-03",1866,39,0
"DC","2022-04",2459,26,0
"DC","2022-07",9,0,0
"DE","2020-03",299,18,0
"DE","2020-04",4132,19,0
"DE","2020-05",3708,5,0
"DE","2020-06",1855,0,0
"DE","2020-07",3112,0,0
"DE","2020-08",2376,0,0
"DE","2020-09",2853,1,0
"DE","2020-10",4184,0,0
"DE","2020-11",10636,0,0
"DE","2020-12",20511,0,0
"DE","2021-01",18841,0,0
"DE","2021-02",7657,0,0
"DE","2021-03",7096,0,0
"DE","2021-04",7922,0,0
"DE","2021-05",3567,1,0
"DE","2021-06",725,0,0
"DE","2021-07",1441,0,0
"DE","2021-08",7292,0,0
"DE","2021-09",11675,0,0
"DE","2021-10",9316,1,0
"DE","2021-11",8268,0,0
"DE","2021-12",27087,1,0
"DE","2022-01",57319,1,0
"DE","2022-02",6971,0,0
"DE","2022-03",2169,0,0
"DE","2022-04",4090,0,0
"DE","2022-05",12170,0,0
"DE","2022-06",7571,0,0
"DE","2022-07",8358,1,0
"DE","2022-08",5116,0,0
"FL","2020-01",216,14,0
"FL","2020-02",284,37,0
"FL","2020-03",15349,3086,341
"FL","2020-04",20394,3625,913
"FL","2020-05",21815,2933,649
"FL","2020-06",81714,5954,943
"FL","2020-07",135715,10536,4555
"FL","2020-08",149612,6197,2968
"FL","2020-09",111629,3408,901
"FL","2020-10",129463,3457,595
"FL","2020-11",86261,4195,1158
"FL","2020-12",120684,5851,2858
"FL","2021-01",242230,10325,5048
"FL","2021-02",178084,4835,1295
"FL","2021-03",302867,5535,475
"FL","2021-04",117273,4332,578
"FL","2021-05",58404,2845,251
"FL","2021-06",49686,2530,136
"FL","2021-07",152052,9498,3683
"FL","2021-08",319802,15040,8794
"FL","2021-09",280498,6384,2017
"FL","2021-10",174066,2894,218
"FL","2021-11",46759,1270,29
"FL","2021-12",283043,3037,805
"FL","2022-01",457827,5724,4469
"FL","2022-02",349344,1689,705
"FL","2022-03",134153,674,0
"FL","2022-04",56968,680,27
"FL","2022-05",153770,1359,258
"FL","2022-06",187563,1735,605
"FL","2022-07",175944,1908,618
"FL","2022-08",81793,931,12
"GA","2020-01",620,1,360
"GA","2020-02",150,2,0
"GA","2020-03",6501,174,0
"GA","2020-04",16171,135,0
"GA","2020-05",16551,77,0
"GA","2020-06",32477,89,0
"GA","2020-07",77185,105,0
"GA","2020-08",60800,136,0
"GA","2020-09",36085,299,0
"GA","2020-10",35735,707,0
"GA","2020-11",57587,950,0
"GA","2020-12",119170,1852,49
"GA","2021-01",146224,1637,155
"GA","2021-02",56331,637,0
"GA","2021-03",25430,317,0
"GA","2021-04",22130,324,0
"GA","2021-05",12199,199,29
"GA","2021-06",4557,99,0
"GA","2021-07",23025,541,0
"GA","2021-08",129380,2090,58
"GA","2021-09",110728,1278,11
"GA","2021-10",35835,388,0
"GA","2021-11",16683,189,22
"GA","2021-12",115686,474,0
"GA","2022-01",357704,2002,162
"GA","2022-02",56118,540,0
"GA","2022-03",19988,60,0
"GA","2022-04",11453,43,25
"GA","2022-05",31879,98,0
"GA","2022-06",54857,193,0
"GA","2022-07",74561,335,0
"GA","2022-08",49098,183,0
"GU","2020-03",112,38,0
"GU","2020-04",37,4,0
"GU","2020-05",18,3,0
"GU","2020-06",75,2,0
"GU","2020-07",67,8,0
"GU","2020-08",789,76,0
"GU","2020-09",891,55,0
"GU","2020-10",1380,65,0
"GU","2020-11",1512,36,0
"GU","2020-12",294,9,0
"GU","2021-01",153,8,0
"GU","2021-02",84,3,0
"GU","2021-03",45,4,0
"GU","2021-04",130,4,0
"GU","2021-05",1771,4,0
"GU","2021-06",144,1,0
"GU","2021-07",136,6,0
"GU","2021-08",1766,17,0
"GU","2021-09",2473,53,0
"GU","2021-10",1339,43,0
"GU","2021-11",358,21,0
"GU","2021-12",382,7,0
"GU","2022-01",4069,11,0
"GU","2022-02",7736,3,0
"GU","2022-03",1664,2,0
"GU","2022-04",559,2,0
"GU","2022-05",613,2,0
"GU","2022-06",1711,2,0
"GU","2022-07",2276,2,0
"GU","2022-08",1336,0,0
"HI","2020-03",207,0,0
"HI","2020-04",334,0,0
"HI","2020-05",105,0,0
"HI","2020-06",257,0,0
"HI","2020-07",887,2,0
"HI","2020-08",3360,0,0
"HI","2020-09",6503,0,0
"HI","2020-10",1604,0,0
"HI","2020-11",3754,0,0
"HI","2020-12",1110,0,0
"HI","2021-01",3667,0,0
"HI","2021-02",2082,0,0
"HI","2021-03",1243,0,0
"HI","2021-04",1270,0,0
"HI","2021-05",1181,0,0
"HI","2021-06",1116,0,0
"HI","2021-07",5552,0,0
"HI","2021-08",18202,0,0
"HI","2021-09",6853,1,0
"HI","2021-10",3720,0,0
"HI","2021-11",2130,0,0
"HI","2021-12",5687,0,0
"HI","2022-01",18816,2,0
"HI","2022-02",16717,0,0
"HI","2022-03",28232,1,0
"HI","2022-04",8583,0,0
"HI","2022-05",8772,0,0
"HI","2022-06",12499,1,0
"HI","2022-07",7629,0,0
"HI","2022-08",2870,0,0
"IA","2020-01",87,2,0
"IA","2020-02",26,2,0
"IA","2020-03",2076,285,0
"IA","2020-04",14059,1001,178
"IA","2020-05",22173,992,197
"IA","2020-06",25786,617,135
"IA","2020-07",30274,602,85
"IA","2020-08",29685,662,83
"IA","2020-09",29841,638,80
"IA","2020-10",37769,894,97
"IA","2020-11",64457,56,52
"IA","2020-12",25450,7,0
"IA","2021-01",17017,8,0
"IA","2021-02",8340,0,0
"IA","2021-03",7541,1,0
"IA","2021-04",6611,4,0
"IA","2021-05",3205,2,0
"IA","2021-06",1521,0,0
"IA","2021-07",5631,3,0
"IA","2021-08",20150,6,0
"IA","2021-09",30264,2,0
"IA","2021-10",20604,1,0
"IA","2021-11",4620,1,0
"IA","2021-12",21,1,0
"IA","2022-01",40,1,0
"IA","2022-05",8,0,0
"IA","2022-06",13,0,0
"IA","2022-07",17,0,0
"IA","2022-08",5,0,0
"ID","2020-03",1308,186,0
"ID","2020-04",709,87,0
"ID","2020-05",835,81,0
"ID","2020-06",5207,226,0
"ID","2020-07",14732,795,109
"ID","2020-08",8832,536,63
"ID","2020-09",9261,508,11
"ID","2020-10",19787,1106,163
"ID","2020-11",35184,1674,305
"ID","2020-12",24539,1370,219
"ID","2021-01",13760,704,45
"ID","2021-02",5841,358,0
"ID","2021-03",6601,500,0
"ID","2021-04",4924,415,0
"ID","2021-05",3451,303,0
"ID","2021-06",2061,236,0
"ID","2021-07",5622,463,12
"ID","2021-08",20363,1307,159
"ID","2021-09",33124,1977,365
"ID","2021-10",19697,1359,218
"ID","2021-11",9995,705,24
"ID","2021-12",11960,638,25
"ID","2022-01",76553,1215,153
"ID","2022-02",12715,467,27
"ID","2022-03",1491,91,0
"ID","2022-04",1336,51,0
"ID","2022-05",4269,91,0
"ID","2022-06",8131,207,0
"ID","2022-07",9773,261,0
"ID","2022-08",4408,103,0
"IL","2020-01",14,3,0
"IL","2020-02",65,30,0
"IL","2020-03",17563,6327,1070
"IL","2020-04",62347,13044,3423
"IL","2020-05",50358,6534,1591
"IL","2020-06",22532,2362,164
"IL","2020-07",42599,3263,165
"IL","2020-08",59298,3728,292
"IL","2020-09",61091,3948,380
"IL","2020-10",191628,8913,1946
"IL","2020-11",280462,10807,3590
"IL","2020-12",169641,8373,2276
"IL","2021-01",103978,6920,913
"IL","2021-02",40471,3122,217
"IL","2021-03",57513,4749,289
"IL","2021-04",66887,6326,381
"IL","2021-05",25422,2970,124
"IL","2021-06",7427,987,0
"IL","2021-07",37308,3244,121
"IL","2021-08",91331,7116,537
"IL","2021-09",72643,5185,312
"IL","2021-10",55818,4048,238
"IL","2021-11",124973,8716,841
"IL","2021-12",533751,20693,2558
"IL","2022-01",374778,12378,1452
"IL","2022-02",37930,1981,62
"IL","2022-03",27398,1112,0
"IL","2022-04",91041,2300,29
"IL","2022-05",139667,3169,42
"IL","2022-06",100007,2468,39
"IL","2022-07",113244,2325,49
"IL","2022-08",52497,859,0
"IN","2020-01",16,5,0
"IN","2020-02",43,17,0
"IN","2020-03",5532,1946,159
"IN","2020-04",15757,2115,644
"IN","2020-05",14265,1150,150
"IN","2020-06",11985,617,32
"IN","2020-07",22450,672,11
"IN","2020-08",25482,695,0
"IN","2020-09",24748,525,77
"IN","2020-10",60341,1201,329
"IN","2020-11",151608,1530,1349
"IN","2020-12",136110,1202,1265
"IN","2021-01",77259,800,313
"IN","2021-02",21739,311,0
"IN","2021-03",17391,181,0
"IN","2021-04",22538,396,0
"IN","2021-05",13957,262,0
"IN","2021-06",4851,106,0
"IN","2021-07",13597,164,0
"IN","2021-08",71212,643,69
"IN","2021-09",70168,835,169
"IN","2021-10",36945,425,52
"IN","2021-11",58488,653,228
"IN","2021-12",125665,1195,540
"IN","2022-01",268585,710,661
"IN","2022-02",29738,103,0
"IN","2022-03",5379,21,0
"IN","2022-04",8189,24,0
"IN","2022-05",24133,78,0
"IN","2022-06",27854,126,0
"IN","2022-07",40530,162,0
"IN","2022-08",31706,135,0
"KS","2020-03",1008,346,14
"KS","2020-04",4464,505,46
"KS","2020-05",4832,441,16
"KS","2020-06",6336,525,11
"KS","2020-07",12949,1136,26
"KS","2020-08",15057,1044,41
"KS","2020-09",15476,1250,102
"KS","2020-10",25455,2019,341
"KS","2020-11",63849,4611,1015
"KS","2020-12",49908,4055,715
"KS","2021-01",34106,2630,255
"KS","2021-02",9893,843,36
"KS","2021-03",5162,468,0
"KS","2021-04",5087,575,0
"KS","2021-05",3030,419,0
"KS","2021-06",2996,400,0
"KS","2021-07",14350,1349,67
"KS","2021-08",30646,2369,177
"KS","2021-09",26711,2133,138
"KS","2021-10",17678,1642,107
"KS","2021-11",24307,2024,137
"KS","2021-12",45617,3300,228
"KS","2022-01",144178,7074,406
"KS","2022-02",16937,1544,107
"KS","2022-03",2382,285,0
"KS","2022-04",4479,299,0
"KS","2022-05",9212,616,0
"KS","2022-06",13787,955,0
"KS","2022-07",20702,1391,0
"KS","2022-08",2865,251,0
"KY","2020-01",71,3,0
"KY","2020-02",26,5,0
"KY","2020-03",1643,447,18
"KY","2020-04",3947,568,153
"KY","2020-05",4227,401,47
"KY","2020-06",5349,397,28
"KY","2020-07",12676,690,45
"KY","2020-08",12924,707,84
"KY","2020-09",12017,686,93
"KY","2020-10",23599,1437,330
"KY","2020-11",48565,2590,731
"KY","2020-12",47186,2736,662
"KY","2021-01",59705,2992,369
"KY","2021-02",21723,1529,101
"KY","2021-03",11427,885,29
"KY","2021-04",10312,910,19
"KY","2021-05",6767,690,0
"KY","2021-06",4323,439,0
"KY","2021-07",16874,1226,41
"KY","2021-08",72486,3640,401
"KY","2021-09",70443,3297,448
"KY","2021-10",25399,1525,123
"KY","2021-11",26096,1389,156
"KY","2021-12",54595,2359,409
"KY","2022-01",151362,3823,621
"KY","2022-02",48007,1817,228
"KY","2022-03",9888,405,19
"KY","2022-04",4614,244,0
"KY","2022-05",14167,517,0
"KY","2022-06",20012,799,34
"KY","2022-07",30188,1354,31
"KY","2022-08",17243,673,0
"LA","2020-01",37,1,0
"LA","2020-02",74,31,0
"LA","2020-03",14703,1309,457
"LA","2020-04",16130,711,535
"LA","2020-05",10497,353,61
"LA","2020-06",29003,755,0
"LA","2020-07",56951,1624,151
"LA","2020-08",27300,876,57
"LA","2020-09",18118,578,13
"LA","2020-10",18522,657,0
"LA","2020-11",44079,1208,188
"LA","2020-12",63451,1329,348
"LA","2021-01",58926,1173,228
"LA","2021-02",17310,566,0
"LA","2021-03",9713,422,0
"LA","2021-04",9230,411,0
"LA","2021-05",9270,400,0
"LA","2021-06",7913,339,0
"LA","2021-07",56756,514,83
"LA","2021-08",102136,438,287
"LA","2021-09",31528,489,23
"LA","2021-10",10964,232,0
"LA","2021-11",7774,183,0
"LA","2021-12",80784,177,0
"LA","2022-01",203330,244,231
"LA","2022-02",26004,60,0
"LA","2022-03",3508,3,0
"LA","2022-04",3934,0,0
"LA","2022-05",17474,6,0
"LA","2022-06",31697,1,0
"LA","2022-07",44172,10,0
"LA","2022-08",20724,0,0
"MA","2020-01",32,5,0
"MA","2020-02",100,32,0
"MA","2020-03",13237,2652,559
"MA","2020-04",55340,6646,5225
"MA","2020-05",28739,2181,1441
"MA","2020-06",6768,475,110
"MA","2020-07",6911,308,30
"MA","2020-08",8833,307,0
"MA","2020-09",12451,420,0
"MA","2020-10",26844,692,145
"MA","2020-11",74446,1550,658
"MA","2020-12",143008,2393,1584
"MA","2021-01",128044,1890,1173
"MA","2021-02",49368,758,226
"MA","2021-03",51883,590,38
"MA","2021-04",44312,505,12
"MA","2021-05",13042,256,0
"MA","2021-06",2713,106,0
"MA","2021-07",11746,285,0
"MA","2021-08",39125,731,84
"MA","2021-09",47531,819,122
"MA","2021-10",37674,728,156
"MA","2021-11",70799,1173,303
"MA","2021-12",232214,2056,744
"MA","2022-01",397287,2665,1637
"MA","2022-02",45000,614,118
"MA","2022-03",25615,296,11
"MA","2022-04",59330,645,51
"MA","2022-05",97271,1111,217
"MA","2022-06",45246,623,102
"MA","2022-07",42262,774,106
"MA","2022-08",26670,466,24
"MD","2020-01",22,3,0
"MD","2020-02",22,7,0
"MD","2020-03",3149,698,73
"MD","2020-04",17989,1520,902
"MD","2020-05",25038,941,658
"MD","2020-06",16116,516,54
"MD","2020-07",24585,815,11
"MD","2020-08",16397,786,0
"MD","2020-09",16929,647,0
"MD","2020-10",23255,981,14
"MD","2020-11",52630,2025,317
"MD","2020-12",61315,2291,408
"MD","2021-01",60436,737,272
"MD","2021-02",35608,1254,103
"MD","2021-03",37446,1692,34
"MD","2021-04",33492,1888,13
"MD","2021-05",14797,763,0
"MD","2021-06",6412,103,0
"MD","2021-07",8197,307,0
"MD","2021-08",25129,904,0
"MD","2021-09",39999,864,0
"MD","2021-10",28352,900,0
"MD","2021-11",31285,1160,0
"MD","2021-12",40790,5114,13
"MD","2022-01",56276,6315,56
"MD","2022-02",14418,1472,0
"MD","2022-03",6556,486,0
"MD","2022-04",43139,681,0
"MD","2022-05",316794,1642,14
"MD","2022-06",65650,1583,0
"MD","2022-07",35561,464,0
"MD","2022-08",30124,204,0
"ME","2020-01",16,0,0
"ME","2020-02",5,1,0
"ME","2020-03",544,119,0
"ME","2020-04",628,72,12
"ME","2020-05",1033,114,16
"ME","2020-06",826,63,0
"ME","2020-07",544,21,0
"ME","2020-08",593,33,0
"ME","2020-09",801,35,0
"ME","2020-10",1466,79,0
"ME","2020-11",5955,313,13
"ME","2020-12",10006,368,101
"ME","2021-01",9867,268,68
"ME","2021-02",3378,95,0
"ME","2021-03",3999,152,0
"ME","2021-04",7158,188,0
"ME","2021-05",3500,146,0
"ME","2021-06",762,41,0
"ME","2021-07",1075,72,0
"ME","2021-08",4039,203,12
"ME","2021-09",9480,228,0
"ME","2021-10",9796,327,12
"ME","2021-11",13594,382,38
"ME","2021-12",21359,428,86
"ME","2022-01",26902,433,121
"ME","2022-02",28352,270,0
"ME","2022-03",5600,139,0
"ME","2022-04",5889,148,0
"ME","2022-05",10855,234,0
"ME","2022-06",4648,156,0
"ME","2022-07",4367,165,0
"ME","2022-08",2995,102,0
"MI","2020-01",92,14,0
"MI","2020-02",77,31,0
"MI","2020-03",12793,5213,1280
"MI","2020-04",15627,3913,1824
"MI","2020-05",9205,926,172
"MI","2020-06",6573,392,22
"MI","2020-07",13369,735,0
"MI","2020-08",13818,718,53
"MI","2020-09",18395,866,42
"MI","2020-10",43844,2205,340
"MI","2020-11",100215,4555,1664
"MI","2020-12",94281,3866,1476
"MI","2021-01",77561,2517,588
"MI","2021-02",30937,1218,125
"MI","2021-03",78822,2672,222
"MI","2021-04",115374,3877,896
"MI","2021-05",50969,1832,336
"MI","2021-06",30892,542,12
"MI","2021-07",31337,553,0
"MI","2021-08",37445,1448,65
"MI","2021-09",54989,1622,176
"MI","2021-10",75161,2244,481
"MI","2021-11",96742,3347,1254
"MI","2021-12",115382,3212,1408
"MI","2022-01",176151,2609,1083
"MI","2022-02",220585,1055,304
"MI","2022-03",124528,425,11
"MI","2022-04",105780,470,0
"MI","2022-05",73958,735,52
"MI","2022-06",45338,591,29
"MI","2022-07",44064,629,13
"MI","2022-08",32004,448,0
"MN","2020-02",16,4,0
"MN","2020-03",1243,322,28
"MN","2020-04",8290,1250,483
"MN","2020-05",18212,1961,493
"MN","2020-06",11714,843,12
"MN","2020-07",20191,1169,0
"MN","2020-08",20885,1291,68
"MN","2020-09",25942,1445,133
"MN","2020-10",60530,3274,431
"MN","2020-11",175247,7367,1562
"MN","2020-12",72507,4140,776
"MN","2021-01",33281,2006,121
"MN","2021-02",18665,1187,0
"MN","2021-03",34223,1993,11
"MN","2021-04",45893,2932,12
"MN","2021-05",16443,1402,0
"MN","2021-06",3361,503,0
"MN","2021-07",9378,880,0
"MN","2021-08",36881,2313,16
"MN","2021-09",58181,3031,105
"MN","2021-10",65224,3423,233
"MN","2021-11",98162,5194,515
"MN","2021-12",106313,4662,269
"MN","2022-01",244587,6414,391
"MN","2022-02",38548,2043,13
"MN","2022-03",10837,815,0
"MN","2022-04",23380,1048,0
"MN","2022-05",47191,2161,11
"MN","2022-06",34959,1927,0
"MN","2022-07",33439,2095,0
"MN","2022-08",25732,1602,0
"MO","2020-01",82,5,0
"MO","2020-02",32,2,0
"MO","2020-03",3216,591,70
"MO","2020-04",6002,839,435
"MO","2020-05",5608,578,169
"MO","2020-06",11737,669,82
"MO","2020-07",30824,1436,133
"MO","2020-08",36071,1862,246
"MO","2020-09",45892,1795,316
"MO","2020-10",64803,2381,603
"MO","2020-11",124058,2839,1369
"MO","2020-12",91800,2584,1026
"MO","2021-01",56818,1766,501
"MO","2021-02",16374,691,49
"MO","2021-03",10983,474,12
"MO","2021-04",11871,570,11
"MO","2021-05",8932,588,15
"MO","2021-06",15191,879,68
"MO","2021-07",50495,1857,294
"MO","2021-08",60524,1841,427
"MO","2021-09",44419,1237,193
"MO","2021-10",24433,739,92
"MO","2021-11",36777,1056,228
"MO","2021-12",96012,1883,609
"MO","2022-01",248425,1822,942
"MO","2022-02",32325,764,82
"MO","2022-03",6088,245,0
"MO","2022-04",9276,165,0
"MO","2022-05",25255,217,0
"MO","2022-06",38934,330,0
"MO","2022-07",45331,413,25
"MO","2022-08",24060,184,0
"MS","2020-02",15,4,0
"MS","2020-03",1666,409,65
"MS","2020-04",5698,1001,214
"MS","2020-05",8132,939,173
"MS","2020-06",11737,997,158
"MS","2020-07",14409,1312,428
"MS","2020-08",3315,281,107
"MS","2020-09",2299,12,0
"MS","2020-10",362,18,0
"MS","2020-11",540,12,0
"MS","2020-12",581,7,0
"MS","2021-01",383,3,0
"MS","2021-02",135,8,0
"MS","2021-03",79,6,0
"MS","2021-04",128,4,0
"MS","2021-05",75,6,0
"MS","2021-06",23,2,0
"MS","2021-07",160,11,0
"MS","2021-08",770,14,0
"MS","2021-09",406,12,0
"MS","2021-10",92,2,0
"MS","2021-11",106,3,0
"MS","2021-12",1118,9,0
"MS","2022-01",2357,23,0
"MS","2022-02",226,4,0
"MS","2022-03",28,0,0
"MS","2022-04",47,1,0
"MS","2022-05",211,1,0
"MS","2022-06",408,10,0
"MS","2022-07",399,11,0
"MS","2022-08",251,3,0
"MT","2020-03",316,41,0
"MT","2020-04",125,22,0
"MT","2020-05",89,10,0
"MT","2020-06",755,43,0
"MT","2020-07",3160,212,29
"MT","2020-08",3363,217,0
"MT","2020-09",7218,395,81
"MT","2020-10",19248,1017,266
"MT","2020-11",28478,1264,288
"MT","2020-12",14705,796,149
"MT","2021-01",8869,443,14
