Time,Pandemic_10,Pandemic_9,Pandemic_1,Pandemic_7,Factor
1/1/2020,0.0,0.0,0.0,0.0,0.2045454545
2/1/2020,0.0,0.0,0.0,0.0,0.0
3/1/2020,0.0058740602,0.0397350993,0.0042229655,0.0609357998,0.0
4/1/2020,0.0693139098,0.0198675497,0.0024131231,0.0282916213,0.0619834711
5/1/2020,0.1379229323,0.0264900662,0.0025728151,0.0304678999,0.0289256198
6/1/2020,0.1734022556,0.0264900662,0.0108767976,0.0631120783,0.0309917355
7/1/2020,0.4814379699,0.1059602649,0.040277864,0.1828073993,0.0640495868
8/1/2020,0.313674812,0.1258278146,0.0370130504,0.204570185,0.1838842975
9/1/2020,0.1459116541,0.1125827815,0.0532484009,0.1566920566,0.2045454545
10/1/2020,0.0773026316,0.3112582781,0.1582192571,0.4243743199,0.1570247934
11/1/2020,0.155075188,0.5894039735,0.3026162868,0.752992383,0.423553719
12/1/2020,0.5227913534,0.5033112583,0.1744191205,0.5571273123,0.7541322314
1/1/2021,1.0,0.178807947,0.0982904087,0.2176278564,0.5578512397
2/1/2021,0.6719924812,0.0993377483,0.0558034724,0.1523394995,0.2190082645
3/1/2021,0.2319078947,0.1125827815,0.072748565,0.2241566921,0.152892562
4/1/2021,0.0838815789,0.0066225166,0.0778320928,0.289445049,0.2252066116
5/1/2021,0.0714285714,0.1390728477,0.0299511165,0.1284004353,0.2892561983
6/1/2021,0.0723684211,0.0529801325,0.0149666865,0.0957562568,0.1301652893
7/1/2021,0.0728383459,0.0794701987,0.0817711614,0.39390642,0.0950413223
8/1/2021,0.1268796992,0.3245033113,0.26157545,0.8019586507,0.3925619835
9/1/2021,0.2814849624,0.8278145695,0.4060079669,1.0,0.8037190083
10/1/2021,0.274906015,0.9470198675,0.3689594294,0.8335146899,1.0
11/1/2021,0.2709116541,1.0,0.1806914662,0.4494015234,0.8347107438
12/1/2021,0.4515977444,0.1059602649,0.1362261238,0.2655059848,0.4504132231
1/1/2022,0.4642857143,0.2847682119,1.0,0.478781284,0.2665289256
2/1/2022,0.4090695489,0.5165562914,0.2854316563,0.2491838955,0.479338843
3/1/2022,0.3106203008,0.4304635762,0.1077388504,0.1284004353,0.25
4/1/2022,0.1604793233,0.1589403974,0.0940142126,0.0718171926,0.1280991736
5/1/2022,0.0817669173,0.2185430464,0.1257574279,0.1099020675,0.0723140496
6/1/2022,0.0507518797,0.0,0.1572433617,0.1077257889,0.1095041322
7/1/2022,0.0594454887,0.1523178808,0.1569505931,0.1088139282,0.1074380165
8/1/2022,0.0812969925,0.1920529801,0.0951143128,0.112078346,0.1095041322
9/1/2022,0.0601503759,0.1655629139,0.0211769298,0.0402611534,0.1115702479
10/1/2022,0.0,0.0,0.0135738176,0.0293797606,0.041322314
11/1/2022,0.0,0.0,0.0134850999,0.0054406964,0.0289256198
12/1/2022,0.0,0.0,0.0121365899,0.0087051143,0.0061983471
