                         Dynamic Factor Results
Dep. Variable:  ,"Cases1", and 46 more  ,  No. Observations:  ,130
Model:          ,Dynamic Factor Model   ,  Log Likelihood     ,-2859.500
                ,+ 7 factors in 7 blocks,  AIC                ,6123.001
                ,+ AR(1) idiosyncratic  ,  BIC                ,6702.243
Date:           ,Sun, 02 Jun 2024       ,  HQIC               ,6358.366
Time:           ,22:50:11               ,  EM Iterations      ,1904
Sample:         ,03-01-2012             ,                     ,
                ,- 12-01-2022           ,                     ,
Covariance Type:,Not computed           ,                     ,
                                            Observation equation:
Factor loadings:,Global,Response,Pandemic,Uncat,Consumption,Employment,Inflation,   idiosyncratic: AR(1),var.
Cases1          ,-0.02 ,.       ,-0.09   ,.    ,.          ,.         ,.        ,0.60                   ,0.64
Cases2          ,0.10  ,.       ,-0.20   ,.    ,.          ,.         ,.        ,0.14                   ,1.03
Cases3          ,-0.02 ,.       ,-0.45   ,.    ,.          ,.         ,.        ,0.89                   ,0.04
Cases4          ,0.16  ,.       ,-0.30   ,.    ,.          ,.         ,.        ,0.90                   ,0.06
Cases5          ,-0.03 ,.       ,-0.43   ,.    ,.          ,.         ,.        ,1.00                   ,0.01
Hosp1           ,-0.10 ,.       ,-0.37   ,.    ,.          ,.         ,.        ,0.81                   ,0.13
Hosp2           ,0.09  ,.       ,-0.40   ,.    ,.          ,.         ,.        ,0.96                   ,0.02
Deaths1         ,-0.11 ,.       ,0.20    ,.    ,.          ,.         ,.        ,0.17                   ,1.05
Deaths2         ,-0.12 ,.       ,0.18    ,.    ,.          ,.         ,.        ,0.15                   ,1.08
Deaths3         ,-0.08 ,.       ,0.05    ,.    ,.          ,.         ,.        ,0.65                   ,0.58
Deaths4         ,-0.10 ,.       ,-0.08   ,.    ,.          ,.         ,.        ,0.54                   ,0.78
Deaths5         ,-0.08 ,.       ,0.03    ,.    ,.          ,.         ,.        ,0.60                   ,0.66
Vax1            ,-0.19 ,-0.35   ,.       ,.    ,.          ,.         ,.        ,0.88                   ,0.01
Vax3            ,-0.21 ,-0.31   ,.       ,.    ,.          ,.         ,.        ,0.91                   ,0.00
Gather1         ,-0.22 ,-0.29   ,.       ,.    ,.          ,.         ,.        ,0.87                   ,0.00
Gather2         ,-0.24 ,-0.23   ,.       ,.    ,.          ,.         ,.        ,0.94                   ,0.04
Gather3         ,-0.23 ,-0.15   ,.       ,.    ,.          ,.         ,.        ,0.96                   ,0.10
Gather4         ,-0.18 ,-0.05   ,.       ,.    ,.          ,.         ,.        ,0.95                   ,0.18
Curfew          ,0.18  ,-0.23   ,.       ,.    ,.          ,.         ,.        ,1.08                   ,0.00
Mask1           ,0.17  ,-0.25   ,.       ,.    ,.          ,.         ,.        ,1.06                   ,0.00
Mask2           ,0.18  ,-0.18   ,.       ,.    ,.          ,.         ,.        ,1.06                   ,0.00
School          ,0.14  ,-0.12   ,.       ,.    ,.          ,.         ,.        ,0.93                   ,0.40
ARP             ,0.20  ,0.04    ,.       ,.    ,.          ,.         ,.        ,0.73                   ,0.42
PPP             ,0.00  ,0.03    ,.       ,.    ,.          ,.         ,.        ,0.00                   ,1.01
CARES           ,0.14  ,-0.11   ,.       ,.    ,.          ,.         ,.        ,0.13                   ,1.16
Cons1           ,0.07  ,.       ,.       ,.    ,-0.04      ,.         ,.        ,-0.36                  ,0.96
Cons2           ,0.20  ,.       ,.       ,.    ,0.39       ,.         ,.        ,-0.51                  ,0.00
Cons3           ,0.20  ,.       ,.       ,.    ,0.39       ,.         ,.        ,-0.51                  ,0.00
