                         Dynamic Factor Results
Dep. Variable:  ,"Cases1", and 43 more  ,  No. Observations:  ,46
Model:          ,Dynamic Factor Model   ,  Log Likelihood     ,-1098.008
                ,+ 8 factors in 7 blocks,  AIC                ,2674.016
                ,+ AR(1) idiosyncratic  ,  BIC                ,3111.061
Date:           ,Mon, 03 Jun 2024       ,  HQIC               ,2837.736
Time:           ,00:25:07               ,  EM Iterations      ,270
Sample:         ,03-01-2019             ,                     ,
                ,- 12-01-2022           ,                     ,
Covariance Type:,Not computed           ,                     ,
                                                 Observation equation:
Factor loadings:,Global.1,Global.2,Response,Pandemic,Uncat,Consumption,Employment,Inflation,   idiosyncratic: AR(1),var.
Cases1          ,-0.03   ,-0.09   ,.       ,-0.01   ,.    ,.          ,.         ,.        ,0.47                   ,0.78
Cases2          ,0.05    ,0.19    ,.       ,0.21    ,.    ,.          ,.         ,.        ,0.05                   ,0.92
Cases3          ,-0.04   ,-0.01   ,.       ,0.40    ,.    ,.          ,.         ,.        ,0.80                   ,0.00
Cases4          ,0.13    ,-0.08   ,.       ,0.30    ,.    ,.          ,.         ,.        ,0.60                   ,0.10
Cases5          ,0.02    ,-0.02   ,.       ,0.40    ,.    ,.          ,.         ,.        ,0.84                   ,0.04
Hosp1           ,-0.10   ,0.02    ,.       ,0.35    ,.    ,.          ,.         ,.        ,0.74                   ,0.02
Hosp2           ,0.08    ,-0.05   ,.       ,0.38    ,.    ,.          ,.         ,.        ,0.71                   ,0.05
Deaths1         ,-0.07   ,-0.20   ,.       ,-0.19   ,.    ,.          ,.         ,.        ,0.05                   ,0.89
Deaths2         ,-0.08   ,-0.20   ,.       ,-0.18   ,.    ,.          ,.         ,.        ,-0.00                  ,0.89
Deaths3         ,-0.09   ,-0.22   ,.       ,-0.07   ,.    ,.          ,.         ,.        ,0.01                   ,0.29
Deaths4         ,-0.09   ,-0.22   ,.       ,0.03    ,.    ,.          ,.         ,.        ,0.08                   ,0.47
Deaths5         ,-0.07   ,-0.23   ,.       ,-0.05   ,.    ,.          ,.         ,.        ,-0.16                  ,0.33
Vax1            ,-0.21   ,0.16    ,-0.10   ,.       ,.    ,.          ,.         ,.        ,0.89                   ,0.02
Vax3            ,-0.24   ,0.13    ,-0.12   ,.       ,.    ,.          ,.         ,.        ,0.87                   ,0.00
Gather1         ,-0.25   ,0.12    ,-0.12   ,.       ,.    ,.          ,.         ,.        ,0.89                   ,0.00
Gather2         ,-0.26   ,0.06    ,-0.15   ,.       ,.    ,.          ,.         ,.        ,0.90                   ,0.00
Gather3         ,-0.25   ,0.04    ,-0.18   ,.       ,.    ,.          ,.         ,.        ,0.90                   ,0.00
Gather4         ,-0.23   ,0.04    ,-0.22   ,.       ,.    ,.          ,.         ,.        ,0.78                   ,0.01
Curfew          ,0.19    ,0.03    ,0.01    ,.       ,.    ,.          ,.         ,.        ,0.87                   ,0.08
Mask1           ,0.18    ,0.04    ,0.01    ,.       ,.    ,.          ,.         ,.        ,0.89                   ,0.08
Mask2           ,0.18    ,0.04    ,0.01    ,.       ,.    ,.          ,.         ,.        ,0.89                   ,0.07
School          ,0.13    ,0.03    ,-0.17   ,.       ,.    ,.          ,.         ,.        ,0.52                   ,0.53
ARP             ,0.18    ,0.08    ,0.06    ,.       ,.    ,.          ,.         ,.        ,0.53                   ,0.41
PPP             ,0.01    ,-0.05   ,-0.00   ,.       ,.    ,.          ,.         ,.        ,-0.09                  ,0.93
CARES           ,0.09    ,0.18    ,0.10    ,.       ,.    ,.          ,.         ,.        ,0.12                   ,1.11
Cons1           ,0.04    ,0.13    ,.       ,.       ,.    ,-0.07      ,.         ,.        ,-0.25                  ,1.10
