                         Dynamic Factor Results
Dep. Variable:  ,"Cases1", and 41 more  ,  No. Observations:  ,130
Model:          ,Dynamic Factor Model   ,  Log Likelihood     ,-2957.224
                ,+ 8 factors in 7 blocks,  AIC                ,6372.449
                ,+ AR(1) idiosyncratic  ,  BIC                ,7029.114
Date:           ,Sun, 02 Jun 2024       ,  HQIC               ,6639.274
Time:           ,23:06:21               ,  EM Iterations      ,236
Sample:         ,03-01-2012             ,                     ,
                ,- 12-01-2022           ,                     ,
Covariance Type:,Not computed           ,                     ,
                                                 Observation equation:
Factor loadings:,Global.1,Global.2,Response,Pandemic,Uncat,Consumption,Employment,Inflation,   idiosyncratic: AR(1),var.
Cases1          ,-0.03   ,-0.06   ,.       ,-0.01   ,.    ,.          ,.         ,.        ,0.44                   ,0.76
Cases2          ,0.11    ,0.20    ,.       ,0.21    ,.    ,.          ,.         ,.        ,-0.14                  ,0.42
Cases3          ,-0.02   ,0.07    ,.       ,0.34    ,.    ,.          ,.         ,.        ,0.70                   ,0.14
Cases4          ,0.14    ,-0.06   ,.       ,0.29    ,.    ,.          ,.         ,.        ,0.80                   ,0.15
Cases5          ,-0.02   ,-0.02   ,.       ,0.40    ,.    ,.          ,.         ,.        ,0.97                   ,0.01
Hosp1           ,-0.06   ,0.13    ,.       ,0.23    ,.    ,.          ,.         ,.        ,0.68                   ,0.29
Hosp2           ,0.05    ,-0.04   ,.       ,0.40    ,.    ,.          ,.         ,.        ,0.85                   ,0.02
Deaths1         ,-0.13   ,-0.21   ,.       ,-0.19   ,.    ,.          ,.         ,.        ,-0.23                  ,0.37
Deaths2         ,-0.14   ,-0.20   ,.       ,-0.18   ,.    ,.          ,.         ,.        ,-0.29                  ,0.36
Deaths3         ,-0.10   ,-0.20   ,.       ,0.08    ,.    ,.          ,.         ,.        ,0.37                   ,0.56
Deaths4         ,-0.11   ,-0.20   ,.       ,0.18    ,.    ,.          ,.         ,.        ,0.17                   ,0.49
Deaths5         ,-0.10   ,-0.20   ,.       ,0.10    ,.    ,.          ,.         ,.        ,0.27                   ,0.61
Vax1            ,-0.20   ,0.12    ,-0.23   ,.       ,.    ,.          ,.         ,.        ,0.93                   ,0.02
Vax3            ,-0.22   ,0.11    ,-0.24   ,.       ,.    ,.          ,.         ,.        ,0.94                   ,0.00
Gather1         ,-0.23   ,0.11    ,-0.24   ,.       ,.    ,.          ,.         ,.        ,0.95                   ,0.00
Gather2         ,-0.25   ,0.12    ,-0.09   ,.       ,.    ,.          ,.         ,.        ,0.93                   ,0.01
Gather3         ,-0.23   ,0.13    ,0.10    ,.       ,.    ,.          ,.         ,.        ,0.91                   ,0.00
Gather4         ,-0.17   ,0.12    ,0.26    ,.       ,.    ,.          ,.         ,.        ,0.83                   ,0.02
Curfew          ,0.17    ,0.03    ,0.19    ,.       ,.    ,.          ,.         ,.        ,0.92                   ,0.17
Mask1           ,0.16    ,0.04    ,0.17    ,.       ,.    ,.          ,.         ,.        ,0.93                   ,0.16
