                         Dynamic Factor Results
Dep. Variable:  ,"Cases1", and 46 more  ,  No. Observations:  ,130
Model:          ,Dynamic Factor Model   ,  Log Likelihood     ,-3414.055
                ,+ 8 factors in 7 blocks,  AIC                ,7336.110
                ,+ AR(1) idiosyncratic  ,  BIC                ,8064.464
Date:           ,Sun, 02 Jun 2024       ,  HQIC               ,7632.065
Time:           ,23:05:36               ,  EM Iterations      ,3300
Sample:         ,03-01-2012             ,                     ,
                ,- 12-01-2022           ,                     ,
Covariance Type:,Not computed           ,                     ,
                                                 Observation equation:
Factor loadings:,Global.1,Global.2,Response,Pandemic,Uncat,Consumption,Employment,Inflation,   idiosyncratic: AR(1),var.
Cases1          ,-0.06   ,-0.00   ,.       ,-0.02   ,.    ,.          ,.         ,.        ,0.55                   ,0.73
Cases2          ,0.12    ,0.01    ,.       ,-0.19   ,.    ,.          ,.         ,.        ,0.30                   ,0.97
Cases3          ,-0.03   ,-0.04   ,.       ,-0.40   ,.    ,.          ,.         ,.        ,0.92                   ,0.05
Cases4          ,0.10    ,-0.13   ,.       ,-0.27   ,.    ,.          ,.         ,.        ,0.93                   ,0.02
Cases5          ,-0.06   ,-0.08   ,.       ,-0.37   ,.    ,.          ,.         ,.        ,0.93                   ,0.01
Hosp1           ,-0.05   ,0.01    ,.       ,-0.35   ,.    ,.          ,.         ,.        ,0.91                   ,0.10
Hosp2           ,0.00    ,-0.11   ,.       ,-0.37   ,.    ,.          ,.         ,.        ,0.92                   ,0.00
Deaths1         ,-0.14   ,-0.02   ,.       ,0.19    ,.    ,.          ,.         ,.        ,0.18                   ,1.05
Deaths2         ,-0.15   ,-0.02   ,.       ,0.18    ,.    ,.          ,.         ,.        ,0.15                   ,1.08
Deaths3         ,-0.18   ,-0.16   ,.       ,0.18    ,.    ,.          ,.         ,.        ,0.47                   ,0.27
Deaths4         ,-0.20   ,-0.19   ,.       ,0.04    ,.    ,.          ,.         ,.        ,0.25                   ,0.43
Deaths5         ,-0.18   ,-0.18   ,.       ,0.17    ,.    ,.          ,.         ,.        ,0.41                   ,0.29
Vax1            ,-0.17   ,0.16    ,-0.32   ,.       ,.    ,.          ,.         ,.        ,0.83                   ,0.01
Vax3            ,-0.20   ,0.15    ,-0.29   ,.       ,.    ,.          ,.         ,.        ,0.64                   ,0.00
Gather1         ,-0.21   ,0.14    ,-0.28   ,.       ,.    ,.          ,.         ,.        ,0.86                   ,0.00
Gather2         ,-0.21   ,0.15    ,-0.15   ,.       ,.    ,.          ,.         ,.        ,0.89                   ,0.07
Gather3         ,-0.16   ,0.17    ,0.02    ,.       ,.    ,.          ,.         ,.        ,0.85                   ,0.24
Gather4         ,-0.09   ,0.17    ,0.17    ,.       ,.    ,.          ,.         ,.        ,0.81                   ,0.45
Curfew          ,0.22    ,0.02    ,-0.09   ,.       ,.    ,.          ,.         ,.        ,1.12                   ,0.00
Mask1           ,0.21    ,0.03    ,-0.12   ,.       ,.    ,.          ,.         ,.        ,1.09                   ,0.00
Mask2           ,0.23    ,0.05    ,-0.05   ,.       ,.    ,.          ,.         ,.        ,1.13                   ,0.00
School          ,0.17    ,0.01    ,0.04    ,.       ,.    ,.          ,.         ,.        ,0.98                   ,0.33
ARP             ,0.18    ,-0.05   ,0.27    ,.       ,.    ,.          ,.         ,.        ,0.77                   ,0.25
PPP             ,-0.00   ,-0.06   ,-0.03   ,.       ,.    ,.          ,.         ,.        ,-0.04                  ,0.96
CARES           ,0.15    ,0.00    ,-0.17   ,.       ,.    ,.          ,.         ,.        ,0.28                   ,1.40
Cons1           ,0.09    ,0.01    ,.       ,.       ,.    ,-0.03      ,.         ,.        ,-0.46                  ,0.82
Cons2           ,0.18    ,-0.09   ,.       ,.       ,.    ,-0.38      ,.         ,.        ,-0.01                  ,0.00
Cons3           ,0.18    ,-0.09   ,.       ,.       ,.    ,-0.38      ,.         ,.        ,0.16                   ,0.00
Cons4           ,0.21    ,-0.09   ,.       ,.       ,.    ,-0.35      ,.         ,.        ,-0.24                  ,0.47
Cons5           ,0.21    ,-0.09   ,.       ,.       ,.    ,-0.35      ,.         ,.        ,-0.21                  ,0.47
Employment1     ,0.17    ,-0.06   ,.       ,.       ,.    ,.          ,-0.53     ,.        ,-0.40                  ,0.32
Employment2     ,0.19    ,-0.07   ,.       ,.       ,.    ,.          ,-0.54     ,.        ,-0.36                  ,0.30
UI              ,-0.03   ,-0.12   ,.       ,.       ,.    ,.          ,0.21      ,.        ,0.56                   ,0.49
PartR           ,-0.22   ,-0.16   ,.       ,.       ,.    ,.          ,-0.12     ,.        ,0.92                   ,0.08
