                         Dynamic Factor Results
Dep. Variable:  ,"Cases1", and 46 more  ,  No. Observations:  ,130
Model:          ,Dynamic Factor Model   ,  Log Likelihood     ,-3931.011
                ,+ 7 factors in 7 blocks,  AIC                ,8266.021
                ,+ AR(1) idiosyncratic  ,  BIC                ,8845.263
Date:           ,Sun, 02 Jun 2024       ,  HQIC               ,8501.387
Time:           ,22:36:36               ,  EM Iterations      ,225
Sample:         ,03-01-2012             ,                     ,
                ,- 12-01-2022           ,                     ,
Covariance Type:,Not computed           ,                     ,
                                            Observation equation:
Factor loadings:,Global,Response,Pandemic,Uncat,Consumption,Employment,Inflation,   idiosyncratic: AR(1),var.
Cases1          ,-0.04 ,.       ,-0.01   ,.    ,.          ,.         ,.        ,0.54                   ,0.69
Cases2          ,0.14  ,.       ,-0.25   ,.    ,.          ,.         ,.        ,0.08                   ,0.77
Cases3          ,-0.03 ,.       ,-0.44   ,.    ,.          ,.         ,.        ,0.97                   ,0.00
Cases4          ,0.15  ,.       ,-0.21   ,.    ,.          ,.         ,.        ,0.91                   ,0.10
Cases5          ,-0.01 ,.       ,-0.36   ,.    ,.          ,.         ,.        ,0.97                   ,0.03
Hosp1           ,-0.07 ,.       ,-0.40   ,.    ,.          ,.         ,.        ,0.94                   ,0.01
Hosp2           ,0.06  ,.       ,-0.34   ,.    ,.          ,.         ,.        ,0.94                   ,0.04
Deaths1         ,-0.16 ,.       ,0.23    ,.    ,.          ,.         ,.        ,-0.03                  ,0.79
Deaths2         ,-0.17 ,.       ,0.21    ,.    ,.          ,.         ,.        ,-0.09                  ,0.76
Deaths3         ,-0.12 ,.       ,0.21    ,.    ,.          ,.         ,.        ,0.81                   ,0.23
Deaths4         ,-0.14 ,.       ,0.08    ,.    ,.          ,.         ,.        ,0.65                   ,0.46
Deaths5         ,-0.12 ,.       ,0.20    ,.    ,.          ,.         ,.        ,0.81                   ,0.24
Vax1            ,-0.15 ,-0.32   ,.       ,.    ,.          ,.         ,.        ,0.93                   ,0.01
Vax3            ,-0.17 ,-0.34   ,.       ,.    ,.          ,.         ,.        ,0.94                   ,0.00
Gather1         ,-0.18 ,-0.34   ,.       ,.    ,.          ,.         ,.        ,0.93                   ,0.00
Gather2         ,-0.20 ,-0.29   ,.       ,.    ,.          ,.         ,.        ,0.95                   ,0.03
Gather3         ,-0.19 ,-0.18   ,.       ,.    ,.          ,.         ,.        ,0.94                   ,0.11
Gather4         ,-0.15 ,-0.06   ,.       ,.    ,.          ,.         ,.        ,0.92                   ,0.23
Curfew          ,0.15  ,0.17    ,.       ,.    ,.          ,.         ,.        ,0.95                   ,0.16
Mask1           ,0.14  ,0.15    ,.       ,.    ,.          ,.         ,.        ,0.96                   ,0.14
Mask2           ,0.15  ,0.17    ,.       ,.    ,.          ,.         ,.        ,0.96                   ,0.15
School          ,0.10  ,0.11    ,.       ,.    ,.          ,.         ,.        ,1.02                   ,0.32
ARP             ,0.22  ,0.13    ,.       ,.    ,.          ,.         ,.        ,0.67                   ,0.28
PPP             ,0.00  ,0.06    ,.       ,.    ,.          ,.         ,.        ,-0.02                  ,0.98
