                         Dynamic Factor Results
Dep. Variable:  ,"Cases1", and 44 more  ,  No. Observations:  ,130
Model:          ,Dynamic Factor Model   ,  Log Likelihood     ,-3116.837
                ,+ 7 factors in 7 blocks,  AIC                ,6621.674
                ,+ AR(1) idiosyncratic  ,  BIC                ,7177.976
Date:           ,Sun, 02 Jun 2024       ,  HQIC               ,6847.718
Time:           ,22:47:11               ,  EM Iterations      ,2003
Sample:         ,03-01-2012             ,                     ,
                ,- 12-01-2022           ,                     ,
Covariance Type:,Not computed           ,                     ,
                                            Observation equation:
Factor loadings:,Global,Response,Pandemic,Uncat,Consumption,Employment,Inflation,   idiosyncratic: AR(1),var.
Cases1          ,-0.06 ,.       ,-0.02   ,.    ,.          ,.         ,.        ,0.50                   ,0.76
Cases2          ,0.10  ,.       ,-0.26   ,.    ,.          ,.         ,.        ,0.21                   ,1.08
Cases3          ,-0.01 ,.       ,-0.43   ,.    ,.          ,.         ,.        ,0.89                   ,0.05
Cases4          ,0.15  ,.       ,-0.27   ,.    ,.          ,.         ,.        ,0.93                   ,0.03
Cases5          ,0.00  ,.       ,-0.39   ,.    ,.          ,.         ,.        ,1.00                   ,0.01
Hosp1           ,-0.06 ,.       ,-0.38   ,.    ,.          ,.         ,.        ,0.88                   ,0.11
Hosp2           ,0.07  ,.       ,-0.37   ,.    ,.          ,.         ,.        ,1.00                   ,0.00
Deaths1         ,-0.11 ,.       ,0.25    ,.    ,.          ,.         ,.        ,0.21                   ,1.10
Deaths2         ,-0.12 ,.       ,0.24    ,.    ,.          ,.         ,.        ,0.18                   ,1.13
Deaths3         ,-0.10 ,.       ,0.16    ,.    ,.          ,.         ,.        ,0.77                   ,0.38
Deaths4         ,-0.11 ,.       ,0.03    ,.    ,.          ,.         ,.        ,0.64                   ,0.64
Deaths5         ,-0.09 ,.       ,0.15    ,.    ,.          ,.         ,.        ,0.75                   ,0.42
Vax1            ,-0.19 ,-0.36   ,.       ,.    ,.          ,.         ,.        ,0.88                   ,0.01
Vax3            ,-0.22 ,-0.33   ,.       ,.    ,.          ,.         ,.        ,0.88                   ,0.00
Gather1         ,-0.23 ,-0.31   ,.       ,.    ,.          ,.         ,.        ,0.86                   ,0.00
