Time,State
2014-04-01,AL
2014-05-01,AL
2014-06-01,AL
2014-07-01,AL
2014-08-01,AL
2014-09-01,AL
2014-10-01,AL
2014-11-01,AL
2014-12-01,AL
2015-01-01,AL
2015-02-01,AL
2015-03-01,AL
2015-04-01,AL
2015-05-01,AL
2015-06-01,AL
2015-07-01,AL
2015-08-01,AL
2015-09-01,AL
2015-10-01,AL
2015-11-01,AL
2015-12-01,AL
2016-01-01,AL
2016-02-01,AL
2016-03-01,AL
2016-04-01,AL
2016-05-01,AL
2016-06-01,AL
2016-07-01,AL
2016-08-01,AL
2016-09-01,AL
2016-10-01,AL
2016-11-01,AL
2016-12-01,AL
2017-01-01,AL
2017-02-01,AL
2017-03-01,AL
2017-04-01,AL
2017-05-01,AL
2017-06-01,AL
2017-07-01,AL
2017-08-01,AL
2017-09-01,AL
2017-10-01,AL
2017-11-01,AL
2017-12-01,AL
2018-01-01,AL
2018-02-01,AL
2018-03-01,AL
2018-04-01,AL
2018-05-01,AL
2018-06-01,AL
2018-07-01,AL
2018-08-01,AL
2018-09-01,AL
2018-10-01,AL
2018-11-01,AL
2018-12-01,AL
2019-01-01,AL
2019-02-01,AL
2019-03-01,AL
2019-04-01,AL
2019-05-01,AL
2019-06-01,AL
2019-07-01,AL
2019-08-01,AL
2019-09-01,AL
2019-10-01,AL
2019-11-01,AL
2019-12-01,AL
2020-01-01,AL
2020-02-01,AL
2020-03-01,AL
2020-04-01,AL
2020-05-01,AL
2020-06-01,AL
2020-07-01,AL
2020-08-01,AL
2020-09-01,AL
2020-10-01,AL
2020-11-01,AL
2020-12-01,AL
2021-01-01,AL
2021-02-01,AL
2021-03-01,AL
2021-04-01,AL
2021-05-01,AL
2021-06-01,AL
2021-07-01,AL
2021-08-01,AL
2021-09-01,AL
2021-10-01,AL
2021-11-01,AL
2021-12-01,AL
2022-01-01,AL
2022-02-01,AL
2022-03-01,AL
2022-04-01,AL
2022-05-01,AL
2022-06-01,AL
2022-07-01,AL
2022-08-01,AL
2022-09-01,AL
2022-10-01,AL
2022-11-01,AL
2022-12-01,AL
2012-01-01,AR
2012-02-01,AR
2012-03-01,AR
2012-04-01,AR
2012-05-01,AR
2012-06-01,AR
2012-07-01,AR
2012-08-01,AR
2012-09-01,AR
2012-10-01,AR
2012-11-01,AR
2012-12-01,AR
2013-01-01,AR
2013-02-01,AR
2013-03-01,AR
2013-04-01,AR
2013-05-01,AR
2013-06-01,AR
2013-07-01,AR
2013-08-01,AR
2013-09-01,AR
2013-10-01,AR
2013-11-01,AR
2013-12-01,AR
2014-01-01,AR
2014-02-01,AR
2014-03-01,AR
2014-04-01,AR
2014-05-01,AR
2014-06-01,AR
2014-07-01,AR
2014-08-01,AR
2014-09-01,AR
2014-10-01,AR
2014-11-01,AR
2014-12-01,AR
2015-01-01,AR
2015-02-01,AR
2015-03-01,AR
2015-04-01,AR
2015-05-01,AR
2015-06-01,AR
2015-07-01,AR
2015-08-01,AR
2015-09-01,AR
2015-10-01,AR
2015-11-01,AR
2015-12-01,AR
2016-01-01,AR
2016-02-01,AR
2016-03-01,AR
2016-04-01,AR
2016-05-01,AR
2016-06-01,AR
2016-07-01,AR
2016-08-01,AR
2016-09-01,AR
2016-10-01,AR
2016-11-01,AR
2016-12-01,AR
2017-01-01,AR
2017-02-01,AR
2017-03-01,AR
2017-04-01,AR
2017-05-01,AR
2017-06-01,AR
2017-07-01,AR
2017-08-01,AR
2017-09-01,AR
2017-10-01,AR
2017-11-01,AR
2017-12-01,AR
2018-01-01,AR
2018-02-01,AR
2018-03-01,AR
2018-04-01,AR
2018-05-01,AR
2018-06-01,AR
2018-07-01,AR
2018-08-01,AR
2018-09-01,AR
2018-10-01,AR
2018-11-01,AR
2018-12-01,AR
2019-01-01,AR
2019-02-01,AR
2019-03-01,AR
2019-04-01,AR
2019-05-01,AR
2019-06-01,AR
2019-07-01,AR
2019-08-01,AR
2019-09-01,AR
2019-10-01,AR
2019-11-01,AR
2019-12-01,AR
2020-01-01,AR
2020-02-01,AR
2020-03-01,AR
2020-04-01,AR
2020-05-01,AR
2020-06-01,AR
2020-07-01,AR
2020-08-01,AR
2020-09-01,AR
2020-10-01,AR
2020-11-01,AR
2020-12-01,AR
2021-01-01,AR
2021-02-01,AR
2021-03-01,AR
2021-04-01,AR
2021-05-01,AR
2021-06-01,AR
2021-07-01,AR
2021-08-01,AR
2021-09-01,AR
2021-10-01,AR
2021-11-01,AR
2021-12-01,AR
2022-01-01,AR
2022-02-01,AR
2022-03-01,AR
2022-04-01,AR
2022-05-01,AR
2022-06-01,AR
2022-07-01,AR
2022-08-01,AR
2022-09-01,AR
2022-10-01,AR
2022-11-01,AR
2022-12-01,AR
2012-01-01,AZ
2012-02-01,AZ
2012-03-01,AZ
2012-04-01,AZ
2012-05-01,AZ
2012-06-01,AZ
2012-07-01,AZ
2012-08-01,AZ
2012-09-01,AZ
2012-10-01,AZ
2012-11-01,AZ
2012-12-01,AZ
2013-01-01,AZ
2013-02-01,AZ
2013-03-01,AZ
2013-04-01,AZ
2013-05-01,AZ
2013-06-01,AZ
2013-07-01,AZ
2013-08-01,AZ
2013-09-01,AZ
2013-10-01,AZ
2013-11-01,AZ
2013-12-01,AZ
2014-01-01,AZ
2014-02-01,AZ
2014-03-01,AZ
2014-04-01,AZ
2014-05-01,AZ
2014-06-01,AZ
2014-07-01,AZ
2014-08-01,AZ
2014-09-01,AZ
2014-10-01,AZ
2014-11-01,AZ
2014-12-01,AZ
2015-01-01,AZ
2015-02-01,AZ
2015-03-01,AZ
2015-04-01,AZ
2015-05-01,AZ
2015-06-01,AZ
2015-07-01,AZ
2015-08-01,AZ
2015-09-01,AZ
2015-10-01,AZ
2015-11-01,AZ
2015-12-01,AZ
2016-01-01,AZ
2016-02-01,AZ
2016-03-01,AZ
2016-04-01,AZ
2016-05-01,AZ
2016-06-01,AZ
2016-07-01,AZ
2016-08-01,AZ
2016-09-01,AZ
2016-10-01,AZ
2016-11-01,AZ
2016-12-01,AZ
2017-01-01,AZ
2017-02-01,AZ
2017-03-01,AZ
2017-04-01,AZ
2017-05-01,AZ
2017-06-01,AZ
2017-07-01,AZ
2017-08-01,AZ
2017-09-01,AZ
2017-10-01,AZ
2017-11-01,AZ
2017-12-01,AZ
2018-01-01,AZ
2018-02-01,AZ
2018-03-01,AZ
2018-04-01,AZ
2018-05-01,AZ
2018-06-01,AZ
2018-07-01,AZ
2018-08-01,AZ
2018-09-01,AZ
2018-10-01,AZ
2018-11-01,AZ
2018-12-01,AZ
2019-01-01,AZ
2019-02-01,AZ
2019-03-01,AZ
2019-04-01,AZ
2019-05-01,AZ
2019-06-01,AZ
2019-07-01,AZ
2019-08-01,AZ
2019-09-01,AZ
2019-10-01,AZ
2019-11-01,AZ
2019-12-01,AZ
2020-01-01,AZ
2020-02-01,AZ
2020-03-01,AZ
2020-04-01,AZ
2020-05-01,AZ
2020-06-01,AZ
2020-07-01,AZ
2020-08-01,AZ
2020-09-01,AZ
2020-10-01,AZ
2020-11-01,AZ
2020-12-01,AZ
2021-01-01,AZ
2021-02-01,AZ
2021-03-01,AZ
2021-04-01,AZ
2021-05-01,AZ
2021-06-01,AZ
2021-07-01,AZ
2021-08-01,AZ
2021-09-01,AZ
2021-10-01,AZ
2021-11-01,AZ
2021-12-01,AZ
2022-01-01,AZ
2022-02-01,AZ
2022-03-01,AZ
2022-04-01,AZ
2022-05-01,AZ
2022-06-01,AZ
2022-07-01,AZ
2022-08-01,AZ
2022-09-01,AZ
2022-10-01,AZ
2022-11-01,AZ
2022-12-01,AZ
2012-01-01,CA
2012-02-01,CA
2012-03-01,CA
2012-04-01,CA
2012-05-01,CA
2012-06-01,CA
2012-07-01,CA
2012-08-01,CA
2012-09-01,CA
2012-10-01,CA
2012-11-01,CA
2012-12-01,CA
2013-01-01,CA
2013-02-01,CA
2013-03-01,CA
2013-04-01,CA
2013-05-01,CA
2013-06-01,CA
2013-07-01,CA
2013-08-01,CA
2013-09-01,CA
2013-10-01,CA
2013-11-01,CA
2013-12-01,CA
2014-01-01,CA
2014-02-01,CA
2014-03-01,CA
2014-04-01,CA
2014-05-01,CA
2014-06-01,CA
2014-07-01,CA
2014-08-01,CA
2014-09-01,CA
2014-10-01,CA
2014-11-01,CA
2014-12-01,CA
2015-01-01,CA
2015-02-01,CA
2015-03-01,CA
2015-04-01,CA
2015-05-01,CA
2015-06-01,CA
2015-07-01,CA
2015-08-01,CA
2015-09-01,CA
2015-10-01,CA
2015-11-01,CA
2015-12-01,CA
2016-01-01,CA
2016-02-01,CA
2016-03-01,CA
2016-04-01,CA
2016-05-01,CA
2016-06-01,CA
2016-07-01,CA
2016-08-01,CA
2016-09-01,CA
2016-10-01,CA
2016-11-01,CA
2016-12-01,CA
2017-01-01,CA
2017-02-01,CA
2017-03-01,CA
2017-04-01,CA
2017-05-01,CA
2017-06-01,CA
2017-07-01,CA
2017-08-01,CA
2017-09-01,CA
2017-10-01,CA
2017-11-01,CA
2017-12-01,CA
2018-01-01,CA
2018-02-01,CA
2018-03-01,CA
2018-04-01,CA
2018-05-01,CA
2018-06-01,CA
2018-07-01,CA
2018-08-01,CA
2018-09-01,CA
2018-10-01,CA
2018-11-01,CA
2018-12-01,CA
2019-01-01,CA
2019-02-01,CA
2019-03-01,CA
2019-04-01,CA
2019-05-01,CA
2019-06-01,CA
2019-07-01,CA
2019-08-01,CA
2019-09-01,CA
2019-10-01,CA
2019-11-01,CA
2019-12-01,CA
2020-01-01,CA
2020-02-01,CA
2020-03-01,CA
2020-04-01,CA
2020-05-01,CA
2020-06-01,CA
2020-07-01,CA
2020-08-01,CA
2020-09-01,CA
2020-10-01,CA
2020-11-01,CA
2020-12-01,CA
2021-01-01,CA
2021-02-01,CA
2021-03-01,CA
2021-04-01,CA
2021-05-01,CA
2021-06-01,CA
2021-07-01,CA
2021-08-01,CA
2021-09-01,CA
2021-10-01,CA
2021-11-01,CA
2021-12-01,CA
2022-01-01,CA
2022-02-01,CA
2022-03-01,CA
2022-04-01,CA
2022-05-01,CA
2022-06-01,CA
2022-07-01,CA
2022-08-01,CA
2022-09-01,CA
2022-10-01,CA
2022-11-01,CA
2022-12-01,CA
2012-01-01,CO
2012-02-01,CO
2012-03-01,CO
2012-04-01,CO
2012-05-01,CO
2012-06-01,CO
2012-07-01,CO
2012-08-01,CO
2012-09-01,CO
2012-10-01,CO
2012-11-01,CO
2012-12-01,CO
2013-01-01,CO
2013-02-01,CO
2013-03-01,CO
2013-04-01,CO
2013-05-01,CO
2013-06-01,CO
2013-07-01,CO
2013-08-01,CO
2013-09-01,CO
2013-10-01,CO
2013-11-01,CO
2013-12-01,CO
2014-01-01,CO
2014-02-01,CO
2014-03-01,CO
2014-04-01,CO
2014-05-01,CO
2014-06-01,CO
2014-07-01,CO
2014-08-01,CO
2014-09-01,CO
2014-10-01,CO
2014-11-01,CO
2014-12-01,CO
2015-01-01,CO
2015-02-01,CO
2015-03-01,CO
2015-04-01,CO
2015-05-01,CO
2015-06-01,CO
2015-07-01,CO
2015-08-01,CO
2015-09-01,CO
2015-10-01,CO
2015-11-01,CO
2015-12-01,CO
2016-01-01,CO
2016-02-01,CO
2016-03-01,CO
2016-04-01,CO
2016-05-01,CO
2016-06-01,CO
2016-07-01,CO
2016-08-01,CO
2016-09-01,CO
2016-10-01,CO
2016-11-01,CO
2016-12-01,CO
2017-01-01,CO
2017-02-01,CO
2017-03-01,CO
2017-04-01,CO
2017-05-01,CO
2017-06-01,CO
2017-07-01,CO
2017-08-01,CO
2017-09-01,CO
2017-10-01,CO
2017-11-01,CO
2017-12-01,CO
2018-01-01,CO
2018-02-01,CO
2018-03-01,CO
2018-04-01,CO
2018-05-01,CO
2018-06-01,CO
2018-07-01,CO
2018-08-01,CO
2018-09-01,CO
2018-10-01,CO
2018-11-01,CO
2018-12-01,CO
2019-01-01,CO
2019-02-01,CO
2019-03-01,CO
2019-04-01,CO
2019-05-01,CO
2019-06-01,CO
2019-07-01,CO
2019-08-01,CO
2019-09-01,CO
2019-10-01,CO
2019-11-01,CO
2019-12-01,CO
2020-01-01,CO
2020-02-01,CO
2020-03-01,CO
2020-04-01,CO
2020-05-01,CO
2020-06-01,CO
2020-07-01,CO
2020-08-01,CO
2020-09-01,CO
2020-10-01,CO
2020-11-01,CO
2020-12-01,CO
2021-01-01,CO
2021-02-01,CO
2021-03-01,CO
2021-04-01,CO
2021-05-01,CO
2021-06-01,CO
2021-07-01,CO
2021-08-01,CO
2021-09-01,CO
2021-10-01,CO
2021-11-01,CO
2021-12-01,CO
2022-01-01,CO
2022-02-01,CO
2022-03-01,CO
2022-04-01,CO
2022-05-01,CO
2022-06-01,CO
2022-07-01,CO
2022-08-01,CO
2022-09-01,CO
2022-10-01,CO
2022-11-01,CO
2022-12-01,CO
2012-01-01,CT
2012-02-01,CT
2012-03-01,CT
2012-04-01,CT
2012-05-01,CT
2012-06-01,CT
2012-07-01,CT
2012-08-01,CT
2012-09-01,CT
2012-10-01,CT
2012-11-01,CT
2012-12-01,CT
2013-01-01,CT
2013-02-01,CT
2013-03-01,CT
2013-04-01,CT
2013-05-01,CT
2013-06-01,CT
2013-07-01,CT
2013-08-01,CT
2013-09-01,CT
2013-10-01,CT
2013-11-01,CT
2013-12-01,CT
2014-01-01,CT
2014-02-01,CT
2014-03-01,CT
2014-04-01,CT
2014-05-01,CT
2014-06-01,CT
2014-07-01,CT
2014-08-01,CT
2014-09-01,CT
2014-10-01,CT
2014-11-01,CT
2014-12-01,CT
2015-01-01,CT
2015-02-01,CT
2015-03-01,CT
2015-04-01,CT
2015-05-01,CT
2015-06-01,CT
2015-07-01,CT
2015-08-01,CT
2015-09-01,CT
2015-10-01,CT
2015-11-01,CT
2015-12-01,CT
2016-01-01,CT
2016-02-01,CT
2016-03-01,CT
2016-04-01,CT
2016-05-01,CT
2016-06-01,CT
2016-07-01,CT
2016-08-01,CT
2016-09-01,CT
2016-10-01,CT
2016-11-01,CT
2016-12-01,CT
2017-01-01,CT
2017-02-01,CT
2017-03-01,CT
2017-04-01,CT
2017-05-01,CT
2017-06-01,CT
2017-07-01,CT
2017-08-01,CT
2017-09-01,CT
2017-10-01,CT
2017-11-01,CT
2017-12-01,CT
2018-01-01,CT
2018-02-01,CT
2018-03-01,CT
2018-04-01,CT
2018-05-01,CT
2018-06-01,CT
2018-07-01,CT
2018-08-01,CT
2018-09-01,CT
2018-10-01,CT
2018-11-01,CT
2018-12-01,CT
2019-01-01,CT
2019-02-01,CT
2019-03-01,CT
2019-04-01,CT
2019-05-01,CT
2019-06-01,CT
2019-07-01,CT
2019-08-01,CT
2019-09-01,CT
2019-10-01,CT
2019-11-01,CT
2019-12-01,CT
2020-01-01,CT
2020-02-01,CT
2020-03-01,CT
2020-04-01,CT
2020-05-01,CT
2020-06-01,CT
2020-07-01,CT
2020-08-01,CT
2020-09-01,CT
2020-10-01,CT
2020-11-01,CT
2020-12-01,CT
2021-01-01,CT
2021-02-01,CT
2021-03-01,CT
2021-04-01,CT
2021-05-01,CT
2021-06-01,CT
2021-07-01,CT
2021-08-01,CT
2021-09-01,CT
2021-10-01,CT
2021-11-01,CT
2021-12-01,CT
2022-01-01,CT
2022-02-01,CT
2022-03-01,CT
2022-04-01,CT
2022-05-01,CT
2022-06-01,CT
2022-07-01,CT
2022-08-01,CT
2022-09-01,CT
2022-10-01,CT
2022-11-01,CT
2022-12-01,CT
2012-01-01,DE
2012-02-01,DE
2012-03-01,DE
2012-04-01,DE
2012-05-01,DE
2012-06-01,DE
2012-07-01,DE
2012-08-01,DE
2012-09-01,DE
2012-10-01,DE
2012-11-01,DE
2012-12-01,DE
2013-01-01,DE
2013-02-01,DE
2013-03-01,DE
2013-04-01,DE
2013-05-01,DE
2013-06-01,DE
2013-07-01,DE
2013-08-01,DE
2013-09-01,DE
2013-10-01,DE
2013-11-01,DE
2013-12-01,DE
2014-01-01,DE
2014-02-01,DE
2014-03-01,DE
2014-04-01,DE
2014-05-01,DE
2014-06-01,DE
2014-07-01,DE
2014-08-01,DE
2014-09-01,DE
2014-10-01,DE
2014-11-01,DE
2014-12-01,DE
2015-01-01,DE
2015-02-01,DE
2015-03-01,DE
2015-04-01,DE
2015-05-01,DE
2015-06-01,DE
2015-07-01,DE
2015-08-01,DE
2015-09-01,DE
2015-10-01,DE
2015-11-01,DE
2015-12-01,DE
2016-01-01,DE
2016-02-01,DE
2016-03-01,DE
2016-04-01,DE
2016-05-01,DE
2016-06-01,DE
2016-07-01,DE
2016-08-01,DE
2016-09-01,DE
2016-10-01,DE
2016-11-01,DE
2016-12-01,DE
2017-01-01,DE
2017-02-01,DE
2017-03-01,DE
2017-04-01,DE
2017-05-01,DE
2017-06-01,DE
2017-07-01,DE
2017-08-01,DE
2017-09-01,DE
2017-10-01,DE
2017-11-01,DE
2017-12-01,DE
2018-01-01,DE
2018-02-01,DE
2018-03-01,DE
2018-04-01,DE
2018-05-01,DE
2018-06-01,DE
2018-07-01,DE
2018-08-01,DE
2018-09-01,DE
2018-10-01,DE
2018-11-01,DE
2018-12-01,DE
2019-01-01,DE
2019-02-01,DE
2019-03-01,DE
2019-04-01,DE
2019-05-01,DE
2019-06-01,DE
2019-07-01,DE
2019-08-01,DE
2019-09-01,DE
2019-10-01,DE
2019-11-01,DE
2019-12-01,DE
2020-01-01,DE
2020-02-01,DE
2020-03-01,DE
2020-04-01,DE
2020-05-01,DE
2020-06-01,DE
2020-07-01,DE
2020-08-01,DE
2020-09-01,DE
2020-10-01,DE
2020-11-01,DE
2020-12-01,DE
2021-01-01,DE
2021-02-01,DE
2021-03-01,DE
2021-04-01,DE
2021-05-01,DE
2021-06-01,DE
2021-07-01,DE
2021-08-01,DE
2021-09-01,DE
2021-10-01,DE
2021-11-01,DE
2021-12-01,DE
2022-01-01,DE
2022-02-01,DE
2022-03-01,DE
2022-04-01,DE
2022-05-01,DE
2022-06-01,DE
2022-07-01,DE
2022-08-01,DE
2022-09-01,DE
2022-10-01,DE
2022-11-01,DE
2022-12-01,DE
2012-01-01,FL
2012-02-01,FL
2012-03-01,FL
2012-04-01,FL
2012-05-01,FL
2012-06-01,FL
2012-07-01,FL
2012-08-01,FL
2012-09-01,FL
2012-10-01,FL
2012-11-01,FL
2012-12-01,FL
2013-01-01,FL
2013-02-01,FL
2013-03-01,FL
2013-04-01,FL
2013-05-01,FL
2013-06-01,FL
2013-07-01,FL
2013-08-01,FL
2013-09-01,FL
2013-10-01,FL
2013-11-01,FL
2013-12-01,FL
2014-01-01,FL
2014-02-01,FL
2014-03-01,FL
2014-04-01,FL
2014-05-01,FL
2014-06-01,FL
2014-07-01,FL
2014-08-01,FL
2014-09-01,FL
2014-10-01,FL
2014-11-01,FL
2014-12-01,FL
2015-01-01,FL
2015-02-01,FL
2015-03-01,FL
2015-04-01,FL
2015-05-01,FL
2015-06-01,FL
2015-07-01,FL
2015-08-01,FL
2015-09-01,FL
2015-10-01,FL
2015-11-01,FL
2015-12-01,FL
2016-01-01,FL
2016-02-01,FL
2016-03-01,FL
2016-04-01,FL
2016-05-01,FL
2016-06-01,FL
2016-07-01,FL
2016-08-01,FL
2016-09-01,FL
2016-10-01,FL
2016-11-01,FL
2016-12-01,FL
2017-01-01,FL
2017-02-01,FL
2017-03-01,FL
2017-04-01,FL
2017-05-01,FL
2017-06-01,FL
2017-07-01,FL
2017-08-01,FL
2017-09-01,FL
2017-10-01,FL
2017-11-01,FL
2017-12-01,FL
2018-01-01,FL
2018-02-01,FL
2018-03-01,FL
2018-04-01,FL
2018-05-01,FL
2018-06-01,FL
2018-07-01,FL
2018-08-01,FL
2018-09-01,FL
2018-10-01,FL
2018-11-01,FL
2018-12-01,FL
2019-01-01,FL
2019-02-01,FL
2019-03-01,FL
2019-04-01,FL
2019-05-01,FL
2019-06-01,FL
2019-07-01,FL
2019-08-01,FL
2019-09-01,FL
2019-10-01,FL
2019-11-01,FL
2019-12-01,FL
2020-01-01,FL
2020-02-01,FL
2020-03-01,FL
2020-04-01,FL
2020-05-01,FL
2020-06-01,FL
2020-07-01,FL
2020-08-01,FL
2020-09-01,FL
2020-10-01,FL
2020-11-01,FL
2020-12-01,FL
2021-01-01,FL
2021-02-01,FL
2021-03-01,FL
2021-04-01,FL
2021-05-01,FL
2021-06-01,FL
2021-07-01,FL
2021-08-01,FL
2021-09-01,FL
2021-10-01,FL
2021-11-01,FL
2021-12-01,FL
2022-01-01,FL
2022-02-01,FL
2022-03-01,FL
2022-04-01,FL
2022-05-01,FL
2022-06-01,FL
2022-07-01,FL
2022-08-01,FL
2022-09-01,FL
2022-10-01,FL
2022-11-01,FL
2022-12-01,FL
2012-01-01,GA
2012-02-01,GA
2012-03-01,GA
2012-04-01,GA
2012-05-01,GA
2012-06-01,GA
2012-07-01,GA
2012-08-01,GA
2012-09-01,GA
2012-10-01,GA
2012-11-01,GA
2012-12-01,GA
2013-01-01,GA
2013-02-01,GA
2013-03-01,GA
2013-04-01,GA
2013-05-01,GA
2013-06-01,GA
2013-07-01,GA
2013-08-01,GA
2013-09-01,GA
2013-10-01,GA
2013-11-01,GA
2013-12-01,GA
2014-01-01,GA
2014-02-01,GA
2014-03-01,GA
2014-04-01,GA
2014-05-01,GA
2014-06-01,GA
2014-07-01,GA
2014-08-01,GA
2014-09-01,GA
2014-10-01,GA
2014-11-01,GA
2014-12-01,GA
2015-01-01,GA
2015-02-01,GA
2015-03-01,GA
2015-04-01,GA
2015-05-01,GA
2015-06-01,GA
2015-07-01,GA
2015-08-01,GA
2015-09-01,GA
2015-10-01,GA
2015-11-01,GA
2015-12-01,GA
2016-01-01,GA
2016-02-01,GA
2016-03-01,GA
2016-04-01,GA
2016-05-01,GA
2016-06-01,GA
2016-07-01,GA
2016-08-01,GA
2016-09-01,GA
2016-10-01,GA
2016-11-01,GA
2016-12-01,GA
2017-01-01,GA
2017-02-01,GA
2017-03-01,GA
2017-04-01,GA
2017-05-01,GA
2017-06-01,GA
2017-07-01,GA
2017-08-01,GA
2017-09-01,GA
2017-10-01,GA
2017-11-01,GA
2017-12-01,GA
2018-01-01,GA
2018-02-01,GA
2018-03-01,GA
2018-04-01,GA
2018-05-01,GA
2018-06-01,GA
2018-07-01,GA
2018-08-01,GA
2018-09-01,GA
2018-10-01,GA
2018-11-01,GA
2018-12-01,GA
2019-01-01,GA
2019-02-01,GA
2019-03-01,GA
2019-04-01,GA
2019-05-01,GA
2019-06-01,GA
2019-07-01,GA
2019-08-01,GA
2019-09-01,GA
2019-10-01,GA
2019-11-01,GA
2019-12-01,GA
2020-01-01,GA
2020-02-01,GA
2020-03-01,GA
2020-04-01,GA
2020-05-01,GA
2020-06-01,GA
2020-07-01,GA
2020-08-01,GA
2020-09-01,GA
2020-10-01,GA
2020-11-01,GA
2020-12-01,GA
2021-01-01,GA
2021-02-01,GA
2021-03-01,GA
2021-04-01,GA
2021-05-01,GA
2021-06-01,GA
2021-07-01,GA
2021-08-01,GA
2021-09-01,GA
2021-10-01,GA
2021-11-01,GA
2021-12-01,GA
2022-01-01,GA
2022-02-01,GA
2022-03-01,GA
2022-04-01,GA
2022-05-01,GA
2022-06-01,GA
2022-07-01,GA
2022-08-01,GA
2022-09-01,GA
2022-10-01,GA
2022-11-01,GA
2022-12-01,GA
2012-01-01,HI
2012-02-01,HI
2012-03-01,HI
2012-04-01,HI
2012-05-01,HI
2012-06-01,HI
2012-07-01,HI
2012-08-01,HI
2012-09-01,HI
2012-10-01,HI
2012-11-01,HI
2012-12-01,HI
2013-01-01,HI
2013-02-01,HI
2013-03-01,HI
2013-04-01,HI
2013-05-01,HI
2013-06-01,HI
2013-07-01,HI
2013-08-01,HI
2013-09-01,HI
2013-10-01,HI
2013-11-01,HI
2013-12-01,HI
2014-01-01,HI
2014-02-01,HI
2014-03-01,HI
2014-04-01,HI
2014-05-01,HI
2014-06-01,HI
2014-07-01,HI
2014-08-01,HI
2014-09-01,HI
2014-10-01,HI
2014-11-01,HI
2014-12-01,HI
2015-01-01,HI
2015-02-01,HI
2015-03-01,HI
2015-04-01,HI
2015-05-01,HI
2015-06-01,HI
2015-07-01,HI
2015-08-01,HI
2015-09-01,HI
2015-10-01,HI
2015-11-01,HI
2015-12-01,HI
2016-01-01,HI
2016-02-01,HI
2016-03-01,HI
2016-04-01,HI
2016-05-01,HI
2016-06-01,HI
2016-07-01,HI
2016-08-01,HI
2016-09-01,HI
2016-10-01,HI
2016-11-01,HI
2016-12-01,HI
2017-01-01,HI
2017-02-01,HI
2017-03-01,HI
2017-04-01,HI
2017-05-01,HI
