                         Dynamic Factor Results
Dep. Variable:  ,"Cases1", and 47 more  ,  No. Observations:  ,130
Model:          ,Dynamic Factor Model   ,  Log Likelihood     ,-3190.536
                ,+ 7 factors in 7 blocks,  AIC                ,6793.072
                ,+ AR(1) idiosyncratic  ,  BIC                ,7383.784
Date:           ,Sun, 02 Jun 2024       ,  HQIC               ,7033.098
Time:           ,22:41:35               ,  EM Iterations      ,326
Sample:         ,03-01-2012             ,                     ,
                ,- 12-01-2022           ,                     ,
Covariance Type:,Not computed           ,                     ,
                                            Observation equation:
Factor loadings:,Global,Response,Pandemic,Uncat,Consumption,Employment,Inflation,   idiosyncratic: AR(1),var.
Cases1          ,-0.08 ,.       ,-0.11   ,.    ,.          ,.         ,.        ,0.41                   ,0.69
Cases2          ,0.21  ,.       ,-0.03   ,.    ,.          ,.         ,.        ,0.06                   ,0.22
Cases3          ,0.02  ,.       ,-0.44   ,.    ,.          ,.         ,.        ,0.81                   ,0.12
Cases4          ,0.07  ,.       ,-0.42   ,.    ,.          ,.         ,.        ,0.75                   ,0.02
Cases5          ,0.07  ,.       ,-0.45   ,.    ,.          ,.         ,.        ,0.77                   ,0.01
Hosp1           ,-0.00 ,.       ,-0.38   ,.    ,.          ,.         ,.        ,0.81                   ,0.24
Hosp2           ,0.07  ,.       ,-0.44   ,.    ,.          ,.         ,.        ,0.75                   ,0.00
Deaths1         ,-0.23 ,.       ,0.01    ,.    ,.          ,.         ,.        ,-0.06                  ,0.12
Deaths2         ,-0.23 ,.       ,-0.00   ,.    ,.          ,.         ,.        ,-0.14                  ,0.10
Deaths3         ,-0.12 ,.       ,-0.01   ,.    ,.          ,.         ,.        ,0.51                   ,0.66
Deaths4         ,-0.12 ,.       ,-0.15   ,.    ,.          ,.         ,.        ,0.36                   ,0.68
Deaths5         ,-0.11 ,.       ,-0.03   ,.    ,.          ,.         ,.        ,0.46                   ,0.71
Vax1            ,-0.09 ,-0.31   ,.       ,.    ,.          ,.         ,.        ,0.94                   ,0.01
Vax3            ,-0.10 ,-0.34   ,.       ,.    ,.          ,.         ,.        ,0.94                   ,0.00
Gather1         ,-0.11 ,-0.35   ,.       ,.    ,.          ,.         ,.        ,0.93                   ,0.00
Gather2         ,-0.13 ,-0.34   ,.       ,.    ,.          ,.         ,.        ,0.94                   ,0.05
Gather3         ,-0.13 ,-0.26   ,.       ,.    ,.          ,.         ,.        ,0.92                   ,0.13
Gather4         ,-0.11 ,-0.13   ,.       ,.    ,.          ,.         ,.        ,0.90                   ,0.26
Curfew          ,0.08  ,0.25    ,.       ,.    ,.          ,.         ,.        ,0.93                   ,0.21
Mask1           ,0.08  ,0.23    ,.       ,.    ,.          ,.         ,.        ,0.95                   ,0.19
Mask2           ,0.08  ,0.26    ,.       ,.    ,.          ,.         ,.        ,0.94                   ,0.21
School          ,0.06  ,0.18    ,.       ,.    ,.          ,.         ,.        ,1.01                   ,0.36
ARP             ,0.11  ,0.24    ,.       ,.    ,.          ,.         ,.        ,0.83                   ,0.22
PPP             ,0.00  ,0.04    ,.       ,.    ,.          ,.         ,.        ,-0.02                  ,0.99
CARES           ,0.23  ,-0.14   ,.       ,.    ,.          ,.         ,.        ,0.50                   ,0.19
Cons1           ,0.16  ,.       ,.       ,.    ,-0.16      ,.         ,.        ,0.05                   ,0.68
Cons2           ,0.15  ,.       ,.       ,.    ,0.41       ,.         ,.        ,-0.19                  ,0.00
Cons3           ,0.16  ,.       ,.       ,.    ,0.41       ,.         ,.        ,-0.19                  ,0.00
Cons4           ,0.22  ,.       ,.       ,.    ,0.31       ,.         ,.        ,0.07                   ,0.16
Cons5           ,0.22  ,.       ,.       ,.    ,0.31       ,.         ,.        ,0.15                   ,0.15
Employment1     ,0.14  ,.       ,.       ,.    ,.          ,-0.59     ,.        ,-0.19                  ,0.06
Employment2     ,0.20  ,.       ,.       ,.    ,.          ,-0.48     ,.        ,0.11                   ,0.10
UI              ,0.00  ,.       ,.       ,.    ,.          ,0.17      ,.        ,0.63                   ,0.64
PartR           ,-0.06 ,.       ,.       ,.    ,.          ,0.18      ,.        ,0.96                   ,0.14
CPI             ,0.15  ,.       ,.       ,.    ,.          ,.         ,-0.34    ,-0.09                  ,0.61
CPIU            ,-0.01 ,.       ,.       ,.    ,.          ,.         ,0.64     ,-0.16                  ,0.53
PCE             ,0.04  ,.       ,.       ,.    ,.          ,.         ,-0.62    ,-0.16                  ,0.55
PCEC            ,0.23  ,.       ,.       ,.    ,.          ,.         ,0.10     ,-0.43                  ,0.09
FixAss          ,0.17  ,.       ,.       ,-0.01,.          ,.         ,.        ,-0.13                  ,0.50
Prod            ,0.17  ,.       ,.       ,-0.00,.          ,.         ,.        ,-0.04                  ,0.56
GDP             ,-0.12 ,.       ,.       ,-0.24,.          ,.         ,.        ,0.24                   ,0.85
TBill1mo        ,-0.09 ,.       ,.       ,-0.06,.          ,.         ,.        ,0.84                   ,0.35
TBill6mo        ,0.06  ,.       ,.       ,-0.39,.          ,.         ,.        ,0.19                   ,0.16
TBill1yr        ,0.07  ,.       ,.       ,-0.39,.          ,.         ,.        ,0.21                   ,0.15
TBill5yr        ,0.19  ,.       ,.       ,-0.33,.          ,.         ,.        ,0.32                   ,0.00
TBill10yr       ,0.19  ,.       ,.       ,-0.33,.          ,.         ,.        ,0.37                   ,0.00
TBill30yr       ,0.26  ,.       ,.       ,-0.13,.          ,.         ,.        ,0.93                   ,0.00
FFR             ,0.26  ,.       ,.       ,-0.13,.          ,.         ,.        ,0.91                   ,0.00
    Transition: Factor block 0
      ,L1.Global,   error variance
Global,0.29     ,13.12
      Transition: Factor block 1
        ,L1.Response,   error variance
Response,0.81       ,3.02
      Transition: Factor block 2
        ,L1.Pandemic,   error variance
Pandemic,0.68       ,2.76
   Transition: Factor block 3
     ,L1.Uncat,   error variance
Uncat,0.67    ,3.60
         Transition: Factor block 4
           ,L1.Consumption,   error variance
Consumption,-0.09         ,5.94
        Transition: Factor block 5
          ,L1.Employment,   error variance
Employment,-0.07        ,2.55
       Transition: Factor block 6
         ,L1.Inflation,   error variance
Inflation,-0.01       ,1.12

Warnings:
[1] Covariance matrix not calculated.
