                         Dynamic Factor Results
Dep. Variable:  ,"Cases1", and 46 more  ,  No. Observations:  ,130
Model:          ,Dynamic Factor Model   ,  Log Likelihood     ,-3621.566
                ,+ 8 factors in 7 blocks,  AIC                ,7751.132
                ,+ AR(1) idiosyncratic  ,  BIC                ,8479.485
Date:           ,Sun, 02 Jun 2024       ,  HQIC               ,8047.086
Time:           ,23:18:34               ,  EM Iterations      ,140
Sample:         ,03-01-2012             ,                     ,
                ,- 12-01-2022           ,                     ,
Covariance Type:,Not computed           ,                     ,
                                                 Observation equation:
Factor loadings:,Global.1,Global.2,Response,Pandemic,Uncat,Consumption,Employment,Inflation,   idiosyncratic: AR(1),var.
Cases1          ,-0.06   ,-0.14   ,.       ,-0.09   ,.    ,.          ,.         ,.        ,0.56                   ,0.52
Cases2          ,0.11    ,0.13    ,.       ,-0.12   ,.    ,.          ,.         ,.        ,0.27                   ,0.77
Cases3          ,-0.03   ,-0.01   ,.       ,-0.43   ,.    ,.          ,.         ,.        ,0.81                   ,0.04
Cases4          ,0.09    ,-0.12   ,.       ,-0.32   ,.    ,.          ,.         ,.        ,0.73                   ,0.14
Cases5          ,-0.01   ,-0.07   ,.       ,-0.40   ,.    ,.          ,.         ,.        ,0.94                   ,0.02
Hosp1           ,-0.07   ,0.06    ,.       ,-0.36   ,.    ,.          ,.         ,.        ,0.77                   ,0.13
Hosp2           ,0.04    ,-0.10   ,.       ,-0.39   ,.    ,.          ,.         ,.        ,0.70                   ,0.04
Deaths1         ,-0.13   ,-0.14   ,.       ,0.17    ,.    ,.          ,.         ,.        ,-0.01                  ,0.81
Deaths2         ,-0.13   ,-0.14   ,.       ,0.16    ,.    ,.          ,.         ,.        ,-0.06                  ,0.81
Deaths3         ,-0.12   ,-0.21   ,.       ,0.13    ,.    ,.          ,.         ,.        ,0.31                   ,0.25
Deaths4         ,-0.13   ,-0.23   ,.       ,-0.02   ,.    ,.          ,.         ,.        ,0.09                   ,0.37
Deaths5         ,-0.11   ,-0.22   ,.       ,0.11    ,.    ,.          ,.         ,.        ,0.20                   ,0.26
Vax1            ,-0.19   ,0.12    ,-0.22   ,.       ,.    ,.          ,.         ,.        ,0.95                   ,0.01
Vax3            ,-0.22   ,0.11    ,-0.26   ,.       ,.    ,.          ,.         ,.        ,0.95                   ,0.00
Gather1         ,-0.22   ,0.10    ,-0.26   ,.       ,.    ,.          ,.         ,.        ,0.96                   ,0.00
Gather2         ,-0.24   ,0.11    ,-0.16   ,.       ,.    ,.          ,.         ,.        ,0.94                   ,0.01
Gather3         ,-0.22   ,0.13    ,0.00    ,.       ,.    ,.          ,.         ,.        ,0.94                   ,0.02
Gather4         ,-0.15   ,0.14    ,0.15    ,.       ,.    ,.          ,.         ,.        ,0.91                   ,0.04
Curfew          ,0.17    ,0.07    ,0.26    ,.       ,.    ,.          ,.         ,.        ,0.94                   ,0.13
Mask1           ,0.16    ,0.08    ,0.25    ,.       ,.    ,.          ,.         ,.        ,0.95                   ,0.11
Mask2           ,0.18    ,0.09    ,0.28    ,.       ,.    ,.          ,.         ,.        ,0.95                   ,0.10
School          ,0.15    ,0.02    ,0.14    ,.       ,.    ,.          ,.         ,.        ,0.99                   ,0.35
ARP             ,0.23    ,-0.06   ,0.04    ,.       ,.    ,.          ,.         ,.        ,0.81                   ,0.31
PPP             ,-0.00   ,-0.05   ,0.05    ,.       ,.    ,.          ,.         ,.        ,-0.05                  ,0.95
CARES           ,0.15    ,0.11    ,-0.24   ,.       ,.    ,.          ,.         ,.        ,0.02                   ,0.94
Cons1           ,0.08    ,0.08    ,.       ,.       ,.    ,-0.06      ,.         ,.        ,-0.35                  ,0.94
Cons2           ,0.22    ,-0.00   ,.       ,.       ,.    ,0.35       ,.         ,.        ,-0.04                  ,0.00
Cons3           ,0.22    ,-0.00   ,.       ,.       ,.    ,0.35       ,.         ,.        ,0.04                   ,0.00
Cons4           ,0.24    ,0.03    ,.       ,.       ,.    ,0.32       ,.         ,.        ,0.18                   ,0.16
Cons5           ,0.24    ,0.03    ,.       ,.       ,.    ,0.32       ,.         ,.        ,0.18                   ,0.16
Employment1     ,0.19    ,-0.00   ,.       ,.       ,.    ,.          ,-0.54     ,.        ,-0.10                  ,0.08
