State,Year,Period,Monetary_3
AK,2012,M01,99.323
AK,2012,M02,99.545
AK,2012,M03,99.735
AK,2012,M04,99.866
AK,2012,M05,99.754
AK,2012,M06,99.704
AK,2012,M07,99.74
AK,2012,M08,100.075
AK,2012,M09,100.379
AK,2012,M10,100.677
AK,2012,M11,100.609
AK,2012,M12,100.593
AK,2013,M01,100.787
AK,2013,M02,101.156
AK,2013,M03,101.023
AK,2013,M04,100.944
AK,2013,M05,101.01
AK,2013,M06,101.228
AK,2013,M07,101.354
AK,2013,M08,101.51
AK,2013,M09,101.55
AK,2013,M10,101.722
AK,2013,M11,101.881
AK,2013,M12,102.084
AK,2014,M01,102.278
AK,2014,M02,102.338
AK,2014,M03,102.543
AK,2014,M04,102.742
AK,2014,M05,102.919
AK,2014,M06,103.035
AK,2014,M07,103.19
AK,2014,M08,103.177
AK,2014,M09,103.203
AK,2014,M10,103.177
AK,2014,M11,103.098
AK,2014,M12,102.94
AK,2015,M01,102.465
AK,2015,M02,102.634
AK,2015,M03,102.831
AK,2015,M04,102.91
AK,2015,M05,103.156
AK,2015,M06,103.356
AK,2015,M07,103.441
AK,2015,M08,103.442
AK,2015,M09,103.289
AK,2015,M10,103.274
AK,2015,M11,103.337
AK,2015,M12,103.253
AK,2016,M01,103.306
AK,2016,M02,103.242
AK,2016,M03,103.481
AK,2016,M04,103.823
AK,2016,M05,103.977
AK,2016,M06,104.175
AK,2016,M07,104.218
AK,2016,M08,104.374
AK,2016,M09,104.555
AK,2016,M10,104.786
AK,2016,M11,104.826
AK,2016,M12,105.017
AK,2017,M01,105.408
AK,2017,M02,105.57
AK,2017,M03,105.512
AK,2017,M04,105.744
AK,2017,M05,105.714
AK,2017,M06,105.815
AK,2017,M07,105.842
AK,2017,M08,106.093
AK,2017,M09,106.491
AK,2017,M10,106.648
AK,2017,M11,106.825
AK,2017,M12,106.98
AK,2018,M01,107.362
AK,2018,M02,107.625
AK,2018,M03,107.777
AK,2018,M04,107.988
AK,2018,M05,108.193
AK,2018,M06,108.317
AK,2018,M07,108.417
AK,2018,M08,108.502
AK,2018,M09,108.738
AK,2018,M10,108.924
AK,2018,M11,108.969
AK,2018,M12,108.991
AK,2019,M01,108.977
AK,2019,M02,109.146
AK,2019,M03,109.443
AK,2019,M04,109.78
AK,2019,M05,109.856
AK,2019,M06,109.935
AK,2019,M07,110.094
AK,2019,M08,110.132
AK,2019,M09,110.207
AK,2019,M10,110.423
AK,2019,M11,110.469
AK,2019,M12,110.736
AK,2020,M01,110.944
AK,2020,M02,111.07
AK,2020,M03,110.824
AK,2020,M04,110.237
AK,2020,M05,110.353
AK,2020,M06,110.746
AK,2020,M07,111.072
AK,2020,M08,111.411
AK,2020,M09,111.613
AK,2020,M10,111.648
AK,2020,M11,111.666
AK,2020,M12,112.15
AK,2021,M01,112.583
AK,2021,M02,112.961
AK,2021,M03,113.632
AK,2021,M04,114.238
AK,2021,M05,114.819
AK,2021,M06,115.458
AK,2021,M07,115.986
AK,2021,M08,116.444
AK,2021,M09,116.808
AK,2021,M10,117.479
AK,2021,M11,118.2
AK,2021,M12,118.841
AK,2022,M01,119.469
AK,2022,M02,120.178
AK,2022,M03,121.321
AK,2022,M04,121.563
AK,2022,M05,122.3
AK,2022,M06,123.512
AK,2022,M07,123.397
AK,2022,M08,123.728
AK,2022,M09,124.154
AK,2022,M10,124.623
AK,2022,M11,124.744
AK,2022,M12,124.809
AL,2012,M01,99.323
AL,2012,M02,99.545
AL,2012,M03,99.735
AL,2012,M04,99.866
AL,2012,M05,99.754
AL,2012,M06,99.704
AL,2012,M07,99.74
AL,2012,M08,100.075
AL,2012,M09,100.379
AL,2012,M10,100.677
AL,2012,M11,100.609
AL,2012,M12,100.593
AL,2013,M01,100.787
AL,2013,M02,101.156
