                         Dynamic Factor Results
Dep. Variable:  ,"Cases1", and 47 more  ,  No. Observations:  ,130
Model:          ,Dynamic Factor Model   ,  Log Likelihood     ,-3235.279
                ,+ 7 factors in 7 blocks,  AIC                ,6882.559
                ,+ AR(1) idiosyncratic  ,  BIC                ,7473.271
Date:           ,Sun, 02 Jun 2024       ,  HQIC               ,7122.585
Time:           ,22:53:12               ,  EM Iterations      ,170
Sample:         ,03-01-2012             ,                     ,
                ,- 12-01-2022           ,                     ,
Covariance Type:,Not computed           ,                     ,
                                            Observation equation:
Factor loadings:,Global,Response,Pandemic,Uncat,Consumption,Employment,Inflation,   idiosyncratic: AR(1),var.
Cases1          ,-0.05 ,.       ,-0.02   ,.    ,.          ,.         ,.        ,0.51                   ,0.77
Cases2          ,0.13  ,.       ,0.27    ,.    ,.          ,.         ,.        ,0.21                   ,1.18
Cases3          ,-0.07 ,.       ,0.39    ,.    ,.          ,.         ,.        ,0.90                   ,0.04
Cases4          ,0.11  ,.       ,0.24    ,.    ,.          ,.         ,.        ,0.89                   ,0.07
Cases5          ,-0.12 ,.       ,0.34    ,.    ,.          ,.         ,.        ,1.01                   ,0.01
Hosp1           ,-0.08 ,.       ,0.35    ,.    ,.          ,.         ,.        ,0.89                   ,0.07
Hosp2           ,-0.04 ,.       ,0.36    ,.    ,.          ,.         ,.        ,0.99                   ,0.01
Deaths1         ,-0.14 ,.       ,-0.26   ,.    ,.          ,.         ,.        ,0.26                   ,1.18
Deaths2         ,-0.16 ,.       ,-0.25   ,.    ,.          ,.         ,.        ,0.24                   ,1.22
Deaths3         ,-0.14 ,.       ,-0.20   ,.    ,.          ,.         ,.        ,0.79                   ,0.34
Deaths4         ,-0.16 ,.       ,-0.08   ,.    ,.          ,.         ,.        ,0.67                   ,0.60
Deaths5         ,-0.14 ,.       ,-0.18   ,.    ,.          ,.         ,.        ,0.78                   ,0.37
Vax1            ,-0.17 ,-0.35   ,.       ,.    ,.          ,.         ,.        ,0.86                   ,0.01
Vax3            ,-0.20 ,-0.33   ,.       ,.    ,.          ,.         ,.        ,0.82                   ,0.00
Gather1         ,-0.21 ,-0.32   ,.       ,.    ,.          ,.         ,.        ,0.88                   ,0.00
Gather2         ,-0.22 ,-0.30   ,.       ,.    ,.          ,.         ,.        ,0.96                   ,0.03
Gather3         ,-0.19 ,-0.25   ,.       ,.    ,.          ,.         ,.        ,0.97                   ,0.08
Gather4         ,-0.13 ,-0.16   ,.       ,.    ,.          ,.         ,.        ,0.97                   ,0.16
Curfew          ,0.19  ,-0.10   ,.       ,.    ,.          ,.         ,.        ,1.09                   ,0.00
Mask1           ,0.18  ,-0.13   ,.       ,.    ,.          ,.         ,.        ,1.07                   ,0.00
Mask2           ,0.20  ,-0.10   ,.       ,.    ,.          ,.         ,.        ,1.08                   ,0.00
School          ,0.15  ,-0.06   ,.       ,.    ,.          ,.         ,.        ,0.93                   ,0.38
ARP             ,0.21  ,0.10    ,.       ,.    ,.          ,.         ,.        ,0.74                   ,0.37
PPP             ,-0.00 ,0.06    ,.       ,.    ,.          ,.         ,.        ,0.01                   ,1.02
CARES           ,0.16  ,-0.15   ,.       ,.    ,.          ,.         ,.        ,0.20                   ,1.27
Cons1           ,0.10  ,.       ,.       ,.    ,-0.03      ,.         ,.        ,-0.34                  ,0.98
Cons2           ,0.19  ,.       ,.       ,.    ,0.40       ,.         ,.        ,-0.42                  ,0.00
